date,Fees Burnt per Transaction (Mean)
2021-03-20,
2021-03-21,
2021-03-22,
2021-03-23,
2021-03-24,
2021-03-25,
2021-03-26,
2021-03-27,
2021-03-28,
2021-03-29,
2021-03-30,
2021-03-31,
2021-04-01,
2021-04-02,
2021-04-03,
2021-04-04,
2021-04-05,
2021-04-06,
2021-04-07,
2021-04-08,
2021-04-09,
2021-04-10,
2021-04-11,
2021-04-12,
2021-04-13,
2021-04-14,
2021-04-15,
2021-04-16,
2021-04-17,
2021-04-18,
2021-04-19,
2021-04-20,
2021-04-21,
2021-04-22,
2021-04-23,
2021-04-24,
2021-04-25,
2021-04-26,
2021-04-27,
2021-04-28,
2021-04-29,
2021-04-30,
2021-05-01,
2021-05-02,
2021-05-03,
2021-05-04,
2021-05-05,
2021-05-06,
2021-05-07,
2021-05-08,
2021-05-09,
2021-05-10,
2021-05-11,
2021-05-12,
2021-05-13,
2021-05-14,
2021-05-15,
2021-05-16,
2021-05-17,
2021-05-18,
2021-05-19,
2021-05-20,
2021-05-21,
2021-05-22,
2021-05-23,
2021-05-24,
2021-05-25,
2021-05-26,
2021-05-27,
2021-05-28,
2021-05-29,
2021-05-30,
2021-05-31,
2021-06-01,
2021-06-02,
2021-06-03,
2021-06-04,
2021-06-05,
2021-06-06,
2021-06-07,
2021-06-08,
2021-06-09,
2021-06-10,
2021-06-11,
2021-06-12,
2021-06-13,
2021-06-14,
2021-06-15,
2021-06-16,
2021-06-17,
2021-06-18,
2021-06-19,
2021-06-20,
2021-06-21,
2021-06-22,
2021-06-23,
2021-06-24,
2021-06-25,
2021-06-26,
2021-06-27,
2021-06-28,
2021-06-29,
2021-06-30,
2021-07-01,
2021-07-02,
2021-07-03,
2021-07-04,
2021-07-05,
2021-07-06,
2021-07-07,
2021-07-08,
2021-07-09,
2021-07-10,
2021-07-11,
2021-07-12,
2021-07-13,
2021-07-14,
2021-07-15,
2021-07-16,
2021-07-17,
2021-07-18,
2021-07-19,
2021-07-20,
2021-07-21,
2021-07-22,
2021-07-23,
2021-07-24,
2021-07-25,
2021-07-26,
2021-07-27,
2021-07-28,
2021-07-29,
2021-07-30,
2021-07-31,
2021-08-01,
2021-08-02,
2021-08-03,
2021-08-04,
2021-08-05,0.0026333258773085
2021-08-06,0.0033885188080456
2021-08-07,0.0035197189721251
2021-08-08,0.0035390900504441
2021-08-09,0.0034855010804374
2021-08-10,0.0043831824970199
2021-08-11,0.0042342983626686
2021-08-12,0.0041437897152586
2021-08-13,0.003968458231494
2021-08-14,0.0036387167567677
2021-08-15,0.004689576427297
2021-08-16,0.0038036672161802
2021-08-17,0.0034613532564322
2021-08-18,0.0032206363527404
2021-08-19,0.0028367744190039
2021-08-20,0.00276430114327
2021-08-21,0.0025811812574952
2021-08-22,0.0026162239144778
2021-08-23,0.0043251947826513
2021-08-24,0.0057669840801211
2021-08-25,0.0070936143866913
2021-08-26,0.0070532903663353
2021-08-27,0.0099435588580343
2021-08-28,0.0068395826857006
2021-08-29,0.007274943236226
2021-08-30,0.0083923580630813
2021-08-31,0.0090630097164182
2021-09-01,0.0093527583368901
2021-09-02,0.0080301671880864
2021-09-03,0.0115437413916035
2021-09-04,0.0089631764144199
2021-09-05,0.0087368556776227
2021-09-06,0.0087017743226826
2021-09-07,0.0107677322580724
2021-09-08,0.0120952330965417
2021-09-09,0.0108838381971927
2021-09-10,0.0069601079370497
2021-09-11,0.0046613796076869
2021-09-12,0.0047537364974673
2021-09-13,0.005457307940183
2021-09-14,0.0053457149909967
2021-09-15,0.0051613146836354
2021-09-16,0.0063100205000756
2021-09-17,0.0058098575991594
2021-09-18,0.004311546483162
2021-09-19,0.0043993962642615
2021-09-20,0.00672074867973
2021-09-21,0.0076845703168679
2021-09-22,0.0052646644549828
2021-09-23,0.0055337922910361
2021-09-24,0.0057015381301838
2021-09-25,0.0038554444692809
2021-09-26,0.0054401447082333
2021-09-27,0.0067545852203582
2021-09-28,0.0071971949191929
2021-09-29,0.0065739032256951
2021-09-30,0.009174310035109
2021-10-01,0.0066146328171784
2021-10-02,0.0049737235790501
2021-10-03,0.0048789370708103
2021-10-04,0.0081921394115954
2021-10-05,0.0092635483247746
2021-10-06,0.0099541399346468
2021-10-07,0.0094225987399412
2021-10-08,0.0089510693751612
2021-10-09,0.0060401740896632
2021-10-10,0.0064269502074807
2021-10-11,0.0082617037754794
2021-10-12,0.0066623909493779
2021-10-13,0.0073704685109834
2021-10-14,0.0096946456344422
2021-10-15,0.0090077966056637
2021-10-16,0.0066118768302304
2021-10-17,0.0059582074528557
2021-10-18,0.0071152012860121
2021-10-19,0.0053584534722959
2021-10-20,0.0057014881535331
2021-10-21,0.0067340813668945
2021-10-22,0.0062724028418111
2021-10-23,0.0047277320434589
2021-10-24,0.0052031596168587
2021-10-25,0.0068111478053444
2021-10-26,0.0083725463278142
2021-10-27,0.0108124253782802
2021-10-28,0.0111566449616746
2021-10-29,0.010725486604269
2021-10-30,0.0104002565224948
2021-10-31,0.0101403802646382
2021-11-01,0.0106746339560855
2021-11-02,0.0111729509070016
2021-11-03,0.0102220165157791
2021-11-04,0.0094314170389448
2021-11-05,0.0090006976653774
2021-11-06,0.0081247787423482
2021-11-07,0.0069982021999301
2021-11-08,0.0083353814919026
2021-11-09,0.0117442063827946
2021-11-10,0.0108110351093491
2021-11-11,0.010599563705651
2021-11-12,0.0099838450912925
2021-11-13,0.0090387382704704
2021-11-14,0.0079339044670331
2021-11-15,0.0105438046911453
2021-11-16,0.0097351461692656
2021-11-17,0.0089337091514809
2021-11-18,0.0099965417841206
2021-11-19,0.0086173687186391
2021-11-20,0.0080550705987038
2021-11-21,0.0075188517762261
2021-11-22,0.0109423860357284
2021-11-23,0.0094979358119621
2021-11-24,0.008548079769364
2021-11-25,0.0083982404805756
2021-11-26,0.0075647644747952
2021-11-27,0.008248848262635
2021-11-28,0.0089163874796463
2021-11-29,0.0086616912191182
2021-11-30,0.0098774221190838
2021-12-01,0.0100477256879742
2021-12-02,0.0079540288521808
2021-12-03,0.0079458020022012
2021-12-04,0.0101157964507382
2021-12-05,0.0064563395070626
2021-12-06,0.0075721984148321
2021-12-07,0.0067821750242637
2021-12-08,0.0054300580604721
2021-12-09,0.0058795606787941
2021-12-10,0.0064977445209959
2021-12-11,0.005711284731811
2021-12-12,0.0048523772100135
2021-12-13,0.005940032349503
2021-12-14,0.0056445713337249
2021-12-15,0.0063964805822778
2021-12-16,0.0081524387754596
2021-12-17,0.0062806796469131
2021-12-18,0.0051887232222393
2021-12-19,0.0043194894376925
2021-12-20,0.0050770836206547
2021-12-21,0.0050829686307047
2021-12-22,0.0056849108196234
2021-12-23,0.0057734444922402
2021-12-24,0.0048693467037786
2021-12-25,0.0049797843216284
2021-12-26,0.0042130904662136
2021-12-27,0.0057132065279611
2021-12-28,0.0074834451914497
2021-12-29,0.0090893332752824
2021-12-30,0.0078860150835878
2021-12-31,0.0069446894143002
2022-01-01,0.0062883513523881
2022-01-02,0.0081017136306826
2022-01-03,0.00797145100831
2022-01-04,0.0098234542384609
2022-01-05,0.0105557004558064
2022-01-06,0.0100849363310839
2022-01-07,0.0113328809463717
2022-01-08,0.00910241538047
2022-01-09,0.012703974293605
2022-01-10,0.0157516758036209
2022-01-11,0.0133514499423706
2022-01-12,0.0131964337816863
2022-01-13,0.0119297450689601
2022-01-14,0.014115258769933
2022-01-15,0.010233634757441
2022-01-16,0.0104535826245157
2022-01-17,0.0103483066071234
2022-01-18,0.009290906199602
2022-01-19,0.0092256716216269
2022-01-20,0.0108151053909141
2022-01-21,0.0138418948309053
2022-01-22,0.0122288330545573
2022-01-23,0.0105175818836986
2022-01-24,0.0108085998985509
2022-01-25,0.0105310588602909
2022-01-26,0.011130008246074
2022-01-27,0.0124484371452437
2022-01-28,0.0111343198795545
2022-01-29,0.0090444471645071
2022-01-30,0.0086056094348889
2022-01-31,0.0092559738526748
2022-02-01,0.0118126086104453
2022-02-02,0.011623529933586
2022-02-03,0.0098342278889327
2022-02-04,0.0083776283697039
2022-02-05,0.0056317449596059
2022-02-06,0.0057444584657044
2022-02-07,0.0089451721085369
2022-02-08,0.0068438597931401
2022-02-09,0.0069890216263912
2022-02-10,0.0068677941005693
2022-02-11,0.0056492232801606
2022-02-12,0.0053079296980215
2022-02-13,0.004503149468818
2022-02-14,0.0047264107431049
2022-02-15,0.0049731376371888
2022-02-16,0.005925638554454
2022-02-17,0.0059805596550705
2022-02-18,0.0070737060266247
2022-02-19,0.0051368255350504
2022-02-20,0.0044607944067025
2022-02-21,0.0073188310848748
2022-02-22,0.0069776451966978
2022-02-23,0.0065087593004191
2022-02-24,0.0067573232432947
2022-02-25,0.0046287084939884
2022-02-26,0.0035436890565772
2022-02-27,0.003483494444085
2022-02-28,0.0059149433049019
2022-03-01,0.0046270799055013
2022-03-02,0.0041255999258848
2022-03-03,0.0037951675007952
2022-03-04,0.0037027435668773
2022-03-05,0.0029491022383902
2022-03-06,0.0038608174789523
2022-03-07,0.0030279273633123
2022-03-08,0.0028115139793296
2022-03-09,0.0028877283828657
2022-03-10,0.0023581876529327
2022-03-11,0.002396292104216
2022-03-12,0.0018620026928037
2022-03-13,0.0023352953528183
2022-03-14,0.0025986920399279
2022-03-15,0.0027696233056117
2022-03-16,0.0029379316860251
2022-03-17,0.0047524838165764
2022-03-18,0.0039288659477495
2022-03-19,0.0023931379249657
2022-03-20,0.0020071899441638
2022-03-21,0.0025169629984541
2022-03-22,0.0030043597738195
2022-03-23,0.0029475350900378
2022-03-24,0.003925479565739
2022-03-25,0.0036882373245067
2022-03-26,0.0025501069991574
2022-03-27,0.0035689549231129
2022-03-28,0.0058648749400985
2022-03-29,0.0034623274549833
2022-03-30,0.0041156814239343
2022-03-31,0.0040060063034921
2022-04-01,0.0051554824801518
2022-04-02,0.0044274866495148
2022-04-03,0.0045986132353644
2022-04-04,0.0052125794011124
2022-04-05,0.0095322976811493
2022-04-06,0.0047398885656756
2022-04-07,0.0051463347865013
2022-04-08,0.0046117233900305
2022-04-09,0.0029972167161782
2022-04-10,0.0028850140911839
2022-04-11,0.0037879369778243
2022-04-12,0.0038549280283353
2022-04-13,0.0039568120880133
2022-04-14,0.0039562913045771
2022-04-15,0.0033079091962039
2022-04-16,0.0025705570474445
2022-04-17,0.0021931329731378
2022-04-18,0.0029583861872703
2022-04-19,0.0030498520341389
2022-04-20,0.0053145760750583
2022-04-21,0.0049670732824697
2022-04-22,0.0040793189591572
2022-04-23,0.0028342845934987
2022-04-24,0.002782741878046
2022-04-25,0.0042221010062369
2022-04-26,0.0038005935586359
2022-04-27,0.0038874940031683
2022-04-28,0.0039219888339043
2022-04-29,0.0038734278144776
2022-04-30,0.0035346325620107
2022-05-01,0.0621052549212003
2022-05-02,0.005579277956874
2022-05-03,0.0052497670429563
2022-05-04,0.0040092522008744
2022-05-05,0.0043220678618495
2022-05-06,0.0035248705617761
2022-05-07,0.0027524757534114
2022-05-08,0.0021276630854314
2022-05-09,0.0046276361126079
2022-05-10,0.0042106281885932
2022-05-11,0.0102158460954417
2022-05-12,0.0139037468559299
2022-05-13,0.00513623045081
2022-05-14,0.002735136017323
2022-05-15,0.0019311340074355
2022-05-16,0.0018891117961082
2022-05-17,0.0026984415724228
2022-05-18,0.0020269286196034
2022-05-19,0.0020367405374253
2022-05-20,0.00225873837825
2022-05-21,0.0016045067418154
2022-05-22,0.0018662217293468
2022-05-23,0.0020711157145101
2022-05-24,0.0022649457504222
2022-05-25,0.0027697065250417
2022-05-26,0.0038276101688199
2022-05-27,0.0033714528400348
2022-05-28,0.0016947350210451
2022-05-29,0.0017227793954446
2022-05-30,0.0027134115473275
2022-05-31,0.0037589787277647
2022-06-01,0.0045307399886665
2022-06-02,0.0050555183251061
2022-06-03,0.0050995822021032
2022-06-04,0.0046084188236393
2022-06-05,0.0046700130859456
2022-06-06,0.0041889157311815
2022-06-07,0.0046249383097117
2022-06-08,0.0058540850701466
2022-06-09,0.0056458796191258
2022-06-10,0.0043344487964595
2022-06-11,0.0029766765192235
2022-06-12,0.0027401198604063
2022-06-13,0.0064140147544217
2022-06-14,0.0044224490435858
2022-06-15,0.0049015744576473
2022-06-16,0.0030537989755182
2022-06-17,0.0028606926060753
2022-06-18,0.0037914291378048
2022-06-19,0.0020817271012352
2022-06-20,0.0021005130468939
2022-06-21,0.0028794130831613
2022-06-22,0.0026510754167524
2022-06-23,0.0038304271893827
2022-06-24,0.0030488899153711
2022-06-25,0.0028484083351365
2022-06-26,0.0030045050520581
2022-06-27,0.003801919864239
2022-06-28,0.0034527501034389
2022-06-29,0.0039922271944348
2022-06-30,0.0037328071331718
2022-07-01,0.0024628082021328
2022-07-02,0.0011872211541773
2022-07-03,0.0013891441764635
2022-07-04,0.0018023404578816
2022-07-05,0.0022315044059244
2022-07-06,0.0023898079190014
2022-07-07,0.0028483696672379
2022-07-08,0.0020587575125827
2022-07-09,0.0014295898066571
2022-07-10,0.0014185706812569
2022-07-11,0.0022531947347476
2022-07-12,0.0018818407530578
2022-07-13,0.0020929566847565
2022-07-14,0.0026661286855462
2022-07-15,0.0023348189548518
2022-07-16,0.0015409138462757
2022-07-17,0.0015133585132349
2022-07-18,0.0022906333743999
2022-07-19,0.002346172319905
2022-07-20,0.0022497247018788
2022-07-21,0.0015212639808053
2022-07-22,0.0011454831453625
2022-07-23,0.0009906326145054
2022-07-24,0.0007650089372854
2022-07-25,0.0013222071806538
2022-07-26,0.0012099883310899
2022-07-27,0.0014595568929476
2022-07-28,0.0017469038158112
2022-07-29,0.0011373658527788
2022-07-30,0.0006196496849991
2022-07-31,0.0005971707478941
2022-08-01,0.0009009445734588
2022-08-02,0.0009904176715052
2022-08-03,0.0008305690839917
2022-08-04,0.0008051290174374
2022-08-05,0.0010556031266006
2022-08-06,0.0006529815181772
2022-08-07,0.0006755753501815
2022-08-08,0.0012972108378302
2022-08-09,0.0014287265129091
2022-08-10,0.0020658538153472
2022-08-11,0.0018618597173599
2022-08-12,0.0013577464989011
2022-08-13,0.0007996771220998
2022-08-14,0.0008638857659744
2022-08-15,0.0014655184124021
2022-08-16,0.0009776803548915
2022-08-17,0.000972099541393
2022-08-18,0.0009754568764856
2022-08-19,0.0013437954211646
2022-08-20,0.0008777353293411
2022-08-21,0.0005599761308074
2022-08-22,0.0011242227932042
2022-08-23,0.0010687275629277
2022-08-24,0.0009873216124084
2022-08-25,0.0011439759360141
2022-08-26,0.0010938724784568
2022-08-27,0.0006774531572878
2022-08-28,0.0006858173014959
2022-08-29,0.001293778865108
2022-08-30,0.0015722814128962
2022-08-31,0.0018533168895259
2022-09-01,0.0016456653143041
2022-09-02,0.0010951023346715
2022-09-03,0.0006241645475122
2022-09-04,0.000642885864698
2022-09-05,0.000832131949923
2022-09-06,0.0012665486900715
2022-09-07,0.0016297415950336
2022-09-08,0.0017549963007082
2022-09-09,0.0016722149825142
2022-09-10,0.0008938620231231
2022-09-11,0.0007771724553477
2022-09-12,0.00132329336218
2022-09-13,0.0012943897448547
2022-09-14,0.0009719378799379
2022-09-15,0.0012264830916644
2022-09-16,0.0006896440485609
2022-09-17,0.0004391838854448
2022-09-18,0.0006252288681263
2022-09-19,0.0008155151924953
2022-09-20,0.0009634462264203
2022-09-21,0.0010306297089817
2022-09-22,0.0008501707397065
2022-09-23,0.0007312030849157
2022-09-24,0.0004734179291042
2022-09-25,0.0006159908041582
2022-09-26,0.0009887887199435
2022-09-27,0.0014693277514704
2022-09-28,0.0013228987555198
2022-09-29,0.0012327118436555
2022-09-30,0.0012456792260968
2022-10-01,0.0007130675443869
2022-10-02,0.0004280146996514
2022-10-03,0.0011251876570877
2022-10-04,0.0012001683607277
2022-10-05,0.0012645770243044
2022-10-06,0.0009911623399013
2022-10-07,0.0007715704409539
2022-10-08,0.0016406094035839
2022-10-09,0.0027937894088375
2022-10-10,0.0031870818503469
2022-10-11,0.0024293876448667
2022-10-12,0.0018160779137606
2022-10-13,0.0020043353834889
2022-10-14,0.001661092556009
2022-10-15,0.0016208748088989
2022-10-16,0.001450306462132
2022-10-17,0.0020074546320648
2022-10-18,0.0022882590653396
2022-10-19,0.0024355468629413
2022-10-20,0.0027865528321956
2022-10-21,0.0027790775412076
2022-10-22,0.0019257771819486
2022-10-23,0.0013494519020964
2022-10-24,0.0018554842095831
2022-10-25,0.0020008271631791
2022-10-26,0.001695820965506
2022-10-27,0.001411799851156
2022-10-28,0.001551981327369
2022-10-29,0.0012115327807407
2022-10-30,0.0008219911397017
2022-10-31,0.0018693220008477
2022-11-01,0.0012767012382044
2022-11-02,0.001555632737917
2022-11-03,0.0017886645718862
2022-11-04,0.001804750539321
2022-11-05,0.001311689854319
2022-11-06,0.0012349799671006
2022-11-07,0.0016284182425823
2022-11-08,0.0040838007962485
2022-11-09,0.0042982858559473
2022-11-10,0.0030710628320642
2022-11-11,0.0020492731892729
2022-11-12,0.0014396609576479
2022-11-13,0.0013148414485587
2022-11-14,0.0015660468213936
2022-11-15,0.0017007276152306
2022-11-16,0.0015771540303503
2022-11-17,0.0014544360851189
2022-11-18,0.0013970791941908
2022-11-19,0.0013579688401671
2022-11-20,0.0013159103688185
2022-11-21,0.0013479122087223
2022-11-22,0.0015619838658484
2022-11-23,0.0013828511076231
2022-11-24,0.0012294968506705
2022-11-25,0.0011089245218752
2022-11-26,0.0011302148804086
2022-11-27,0.0011721277415023
2022-11-28,0.0013073803263965
2022-11-29,0.0011104001890604
2022-11-30,0.0012391672991183
2022-12-01,0.0013263765567504
2022-12-02,0.001225058729666
2022-12-03,0.0012474074289871
2022-12-04,0.0012316363810498
2022-12-05,0.0014027867372175
2022-12-06,0.0014759341689054
2022-12-07,0.001649365020252
2022-12-08,0.0017131731999787
2022-12-09,0.0016911569783925
2022-12-10,0.0014477116085921
2022-12-11,0.001504128579169
2022-12-12,0.0014634428713109
2022-12-13,0.0016397573344969
2022-12-14,0.001499452245216
2022-12-15,0.0016912253255679
2022-12-16,0.0016440799608447
2022-12-17,0.0013797633524774
2022-12-18,0.0015763122214659
2022-12-19,0.0015123536332666
2022-12-20,0.0016590932240224
2022-12-21,0.0015318776200047
2022-12-22,0.0015285052053835
2022-12-23,0.0013624548726638
2022-12-24,0.001309427106056
2022-12-25,0.0013472128738101
2022-12-26,0.0012877440092696
2022-12-27,0.0015272133672122
2022-12-28,0.001724925026506
2022-12-29,0.0018341283045411
2022-12-30,0.0019160443248842
2022-12-31,0.0019485757373426
2023-01-01,0.0020329814646674
2023-01-02,0.0018274630572648
2023-01-03,0.0020154744643042
2023-01-04,0.0019834195524114
2023-01-05,0.0019173748170262
2023-01-06,0.0020645081455055
2023-01-07,0.0016903797176629
2023-01-08,0.0016161430984483
2023-01-09,0.0021705078494148
2023-01-10,0.0020898049974413
2023-01-11,0.0020713046896173
2023-01-12,0.0020530938105969
2023-01-13,0.0024088498180114
2023-01-14,0.0022097772659111
2023-01-15,0.0019903909884311
2023-01-16,0.0021741081877506
2023-01-17,0.0023305640819021
2023-01-18,0.0024363648061019
2023-01-19,0.0021513642827311
2023-01-20,0.0021287075452294
2023-01-21,0.0017893505002138
2023-01-22,0.001805594146258
2023-01-23,0.0020347205695214
2023-01-24,0.002250459813638
2023-01-25,0.0020834636674026
2023-01-26,0.0020541002937659
2023-01-27,0.0019706484892535
2023-01-28,0.0016715596347389
2023-01-29,0.0020098752775024
2023-01-30,0.0017777115896545
2023-01-31,0.0023747046714409
2023-02-01,0.0025442327276071
2023-02-02,0.0026226601941657
2023-02-03,0.0028135879989868
2023-02-04,0.0022399106758471
2023-02-05,0.001971124535443
2023-02-06,0.0023525420689542
2023-02-07,0.0028897413132631
2023-02-08,0.0031420027099713
2023-02-09,0.0034323433706543
2023-02-10,0.0024811101659399
2023-02-11,0.0019617445004767
2023-02-12,0.0018902282052338
2023-02-13,0.0024260658015772
2023-02-14,0.004888929294424
2023-02-15,0.0034415616945411
2023-02-16,0.0036196321033539
2023-02-17,0.003458627959195
2023-02-18,0.0028782784266369
2023-02-19,0.0025647647617925
2023-02-20,0.0030610526676192
2023-02-21,0.0031135067569516
2023-02-22,0.0034558901356848
2023-02-23,0.003632299078513
2023-02-24,0.0029470845797349
2023-02-25,0.0022647462762298
2023-02-26,0.0022383699769148
2023-02-27,0.0023695004776959
2023-02-28,0.0024626574453328
2023-03-01,0.0030210273440519
2023-03-02,0.0026629284701938
2023-03-03,0.002848068850008
2023-03-04,0.0025222708532093
2023-03-05,0.0028809159014311
2023-03-06,0.0034358043222758
2023-03-07,0.0032552458980807
2023-03-08,0.0034142647574973
2023-03-09,0.0036419473993521
2023-03-10,0.0030635014014243
2023-03-11,0.0090859510498252
2023-03-12,0.0025538764656987
2023-03-13,0.0027810899483306
2023-03-14,0.002894923025958
2023-03-15,0.002671841102901
2023-03-16,0.0024394665767628
2023-03-17,0.0024385304167326
2023-03-18,0.0018378220328432
2023-03-19,0.0018978122223829
2023-03-20,0.0019400618238759
2023-03-21,0.0018301922440843
2023-03-22,0.0019551882231691
2023-03-23,0.0022158264826694
2023-03-24,0.0022516601458227
2023-03-25,0.0017672998180459
2023-03-26,0.0018381749904732
2023-03-27,0.0026457879358666
2023-03-28,0.0024823413309124
2023-03-29,0.0027468798846582
2023-03-30,0.0028805964841581
2023-03-31,0.0025034793622016
2023-04-01,0.0022219890678434
2023-04-02,0.0021816293486832
2023-04-03,0.0028647623141969
2023-04-04,0.0029347543176248
2023-04-05,0.0032647345265189
2023-04-06,0.0029493827126574
2023-04-07,0.0024438827007496
2023-04-08,0.002414584652615
2023-04-09,0.002289176893127
2023-04-10,0.0025214184627794
2023-04-11,0.0026230017056797
2023-04-12,0.0023969841348251
2023-04-13,0.0028357294904704
2023-04-14,0.0026594517533607
2023-04-15,0.0024195092158469
2023-04-16,0.0032454017724883
2023-04-17,0.0034607368692964
2023-04-18,0.004943307623453
2023-04-19,0.0068662058119777
2023-04-20,0.0063849381425401
2023-04-21,0.0041248235045988
2023-04-22,0.0045595230267196
2023-04-23,0.005004705626424
2023-04-24,0.0049084126519699
2023-04-25,0.0041196058387342
2023-04-26,0.0043263084551849
2023-04-27,0.0041056813461022
2023-04-28,0.0040092885926588
2023-04-29,0.0042111535538709
2023-04-30,0.0046475553605319
2023-05-01,0.0063807863068674
2023-05-02,0.0077325826830376
2023-05-03,0.0070719192316063
2023-05-04,0.0072603111093192
2023-05-05,0.0120781370544911
2023-05-06,0.0124567283649032
2023-05-07,0.0104836919761554
2023-05-08,0.0099190002618792
2023-05-09,0.0085213116317289
2023-05-10,0.009110774433573
2023-05-11,0.0093243977938215
2023-05-12,0.0063554922314994
2023-05-13,0.0044537585240392
2023-05-14,0.0043105582302847
2023-05-15,0.0055416129985782
2023-05-16,0.005535789864457
2023-05-17,0.0052918858233286
2023-05-18,0.0052708560196223
2023-05-19,0.0044744805759542
2023-05-20,0.0033980523071759
2023-05-21,0.0035509702405688
2023-05-22,0.0045389609387243
2023-05-23,0.0049967686377314
2023-05-24,0.0043426162791877
2023-05-25,0.0036518340698241
2023-05-26,0.0031210232140633
2023-05-27,0.0027346321932063
2023-05-28,0.0031459337803539
2023-05-29,0.0035521820859069
2023-05-30,0.0040929392561775
2023-05-31,0.0037389350996105
2023-06-01,0.0039057735272804
2023-06-02,0.0031121066796103
2023-06-03,0.0025401427465068
2023-06-04,0.0024258359082887
2023-06-05,0.0032356422635212
2023-06-06,0.002619016810352
2023-06-07,0.0023432490967713
2023-06-08,0.0024987400290965
2023-06-09,0.0021197282457555
2023-06-10,0.0020926514285639
2023-06-11,0.0016523300942506
2023-06-12,0.0018999501238933
2023-06-13,0.0018834815766094
2023-06-14,0.0023078305560124
2023-06-15,0.0018502456106766
2023-06-16,0.0018385416226212
2023-06-17,0.0018750693926023
2023-06-18,0.0016105633730471
2023-06-19,0.0018808773413152
2023-06-20,0.0018442768133523
2023-06-21,0.0020360609912599
2023-06-22,0.0016880876980944
2023-06-23,0.0018667693649169
2023-06-24,0.0015519912420976
2023-06-25,0.0014741929674188
2023-06-26,0.0014979288638991
2023-06-27,0.0017736404528923
2023-06-28,0.0018659764346324
2023-06-29,0.0031892417023471
2023-06-30,0.002729777637673
2023-07-01,0.0017800278780347
2023-07-02,0.0016682106098103
2023-07-03,0.002027750007643
2023-07-04,0.0032838275231134
2023-07-05,0.0069016059270785
2023-07-06,0.0045848004010593
2023-07-07,0.0031898524558795
2023-07-08,0.0019758264234202
2023-07-09,0.0018964877892847
2023-07-10,0.0021317748085934
2023-07-11,0.0020976301550061
2023-07-12,0.002743082887626
2023-07-13,0.0030303303199863
2023-07-14,0.002297710364648
2023-07-15,0.0015435876761444
2023-07-16,0.0017466014937416
2023-07-17,0.0021944697018994
2023-07-18,0.0026801939472864
2023-07-19,0.0024347213211444
2023-07-20,0.0026495437607716
2023-07-21,0.0026962255583587
2023-07-22,0.0019588880020505
2023-07-23,0.0021303826425141
2023-07-24,0.00324042478342
2023-07-25,0.003135838175085
2023-07-26,0.0027082318759226
2023-07-27,0.003264138783293
2023-07-28,0.0038652779697188
2023-07-29,0.0022965316541441
2023-07-30,0.0021291736393788
2023-07-31,0.0024146112118316
2023-08-01,0.0022812919190759
2023-08-02,0.0024407973721896
2023-08-03,0.0022716255526341
2023-08-04,0.0019201723395305
2023-08-05,0.0015274111626891
2023-08-06,0.001564305113682
2023-08-07,0.0023700909256271
2023-08-08,0.0023300979649109
2023-08-09,0.0021794330964153
2023-08-10,0.0022920719539559
2023-08-11,0.0019030129896218
2023-08-12,0.0015654028655668
2023-08-13,0.0016427224367053
