date,Adjusted SOPR (aSOPR)
2009-09-09,
2009-09-10,
2009-09-11,
2009-09-12,
2009-09-13,
2009-09-14,
2009-09-15,
2009-09-16,
2009-09-17,
2009-09-18,
2009-09-19,
2009-09-20,
2009-09-21,
2009-09-22,
2009-09-23,
2009-09-24,
2009-09-25,
2009-09-26,
2009-09-27,
2009-09-28,
2009-09-29,
2009-09-30,
2009-10-01,
2009-10-02,
2009-10-03,
2009-10-04,
2009-10-05,
2009-10-06,
2009-10-07,
2009-10-08,
2009-10-09,
2009-10-10,
2009-10-11,
2009-10-12,50.48625663
2009-10-13,
2009-10-14,
2009-10-15,
2009-10-16,1.24312355
2009-10-17,
2009-10-18,1.04147332
2009-10-19,
2009-10-20,1.79131529
2009-10-21,1.22238868
2009-10-22,0.98113027
2009-10-23,
2009-10-24,1.04370283
2009-10-25,
2009-10-26,
2009-10-27,0.99217527
2009-10-28,
2009-10-29,1.00586781
2009-10-30,
2009-10-31,
2009-11-01,
2009-11-02,
2009-11-03,
2009-11-04,1.03412962
2009-11-05,
2009-11-06,
2009-11-07,
2009-11-08,
2009-11-09,
2009-11-10,
2009-11-11,0.99740169
2009-11-12,
2009-11-13,1.08688368
2009-11-14,
2009-11-15,
2009-11-16,
2009-11-17,
2009-11-18,
2009-11-19,0.83117625
2009-11-20,
2009-11-21,
2009-11-22,
2009-11-23,
2009-11-24,
2009-11-25,
2009-11-26,
2009-11-27,
2009-11-28,
2009-11-29,
2009-11-30,
2009-12-01,4.14193834
2009-12-02,
2009-12-03,
2009-12-04,
2009-12-05,0.78980237
2009-12-06,0.96420335
2009-12-07,
2009-12-08,0.95241355
2009-12-09,0.97149575
2009-12-10,
2009-12-11,
2009-12-12,0.92954037
2009-12-13,
2009-12-14,0.74698112
2009-12-15,0.96008923
2009-12-16,1.00770121
2009-12-17,2.98779959
2009-12-18,
2009-12-19,1.02499715
2009-12-20,
2009-12-21,1.02238453
2009-12-22,
2009-12-23,
2009-12-24,
2009-12-25,0.57474706
2009-12-26,
2009-12-27,1.00701444
2009-12-28,
2009-12-29,
2009-12-30,
2009-12-31,
2010-01-01,1.0427271
2010-01-02,
2010-01-03,
2010-01-04,1.16121667
2010-01-05,
2010-01-06,
2010-01-07,
2010-01-08,
2010-01-09,
2010-01-10,
2010-01-11,
2010-01-12,0.70809088
2010-01-13,1.04318041
2010-01-14,1.10958565
2010-01-15,1.0
2010-01-16,1.0
2010-01-17,
2010-01-18,1.0
2010-01-19,
2010-01-20,
2010-01-21,1.0
2010-01-22,1.0
2010-01-23,1.0
2010-01-24,1.0
2010-01-25,1.0
2010-01-26,1.0
2010-01-27,1.0
2010-01-28,1.0
2010-01-29,1.0
2010-01-30,1.02222743
2010-01-31,1.0
2010-02-01,1.0
2010-02-02,1.0
2010-02-03,1.0
2010-02-04,1.0
2010-02-05,1.00567975
2010-02-06,1.0
2010-02-07,1.0
2010-02-08,0.95387866
2010-02-09,0.73761256
2010-02-10,1.04208673
2010-02-11,1.0
2010-02-12,1.0010462
2010-02-13,1.00033062
2010-02-14,1.0
2010-02-15,1.00305577
2010-02-16,1.0
2010-02-17,1.0
2010-02-18,1.0
2010-02-19,1.0
2010-02-20,1.0
2010-02-21,1.0
2010-02-22,1.0
2010-02-23,1.0
2010-02-24,1.0099679
2010-02-25,1.00222906
2010-02-26,1.0
2010-02-27,1.0
2010-02-28,1.0
2010-03-01,1.0
2010-03-02,1.0
2010-03-03,1.0
2010-03-04,1.076039
2010-03-05,1.0
2010-03-06,1.00022059
2010-03-07,1.0
2010-03-08,1.00902032
2010-03-09,1.0
2010-03-10,1.0
2010-03-11,1.0
2010-03-12,1.0
2010-03-13,1.0
2010-03-14,1.0
2010-03-15,1.0
2010-03-16,1.19506938
2010-03-17,1.03698506
2010-03-18,1.0
2010-03-19,1.0
2010-03-20,1.00178452
2010-03-21,1.0
2010-03-22,1.0
2010-03-23,1.01615129
2010-03-24,1.0
2010-03-25,1.00655509
2010-03-26,1.0
2010-03-27,1.0
2010-03-28,1.0325394
2010-03-29,1.0
2010-03-30,1.0
2010-03-31,1.0
2010-04-01,1.0
2010-04-02,1.0
2010-04-03,1.0
2010-04-04,1.01126205
2010-04-05,1.01611793
2010-04-06,1.03938527
2010-04-07,1.02431021
2010-04-08,1.00429492
2010-04-09,1.0
2010-04-10,1.0
2010-04-11,1.00852091
2010-04-12,1.0
2010-04-13,1.0
2010-04-14,1.0
2010-04-15,1.51782698
2010-04-16,1.01098668
2010-04-17,1.00000001
2010-04-18,1.00594981
2010-04-19,1.0
2010-04-20,0.97117289
2010-04-21,1.0
2010-04-22,1.0
2010-04-23,1.0
2010-04-24,0.99832054
2010-04-25,0.98681651
2010-04-26,1.0
2010-04-27,1.00004933
2010-04-28,1.0
2010-04-29,1.0
2010-04-30,1.0
2010-05-01,1.0
2010-05-02,1.0
2010-05-03,1.0
2010-05-04,1.0
2010-05-05,1.0
2010-05-06,1.0
2010-05-07,1.0
2010-05-08,1.0
2010-05-09,1.00300279
2010-05-10,1.0
2010-05-11,1.0
2010-05-12,0.99675265
2010-05-13,1.0
2010-05-14,0.98862212
2010-05-15,1.0
2010-05-16,1.0
2010-05-17,1.05783652
2010-05-18,1.0
2010-05-19,1.0
2010-05-20,1.0
2010-05-21,1.0
2010-05-22,1.0
2010-05-23,1.0
2010-05-24,1.0
2010-05-25,1.0
2010-05-26,1.0
2010-05-27,1.0
2010-05-28,1.0
2010-05-29,1.002486
2010-05-30,1.0
2010-05-31,1.0
2010-06-01,1.0
2010-06-02,1.0
2010-06-03,1.0
2010-06-04,1.0
2010-06-05,1.0
2010-06-06,1.0
2010-06-07,1.0
2010-06-08,1.0
2010-06-09,1.0
2010-06-10,1.0
2010-06-11,1.0
2010-06-12,1.0
2010-06-13,0.99707212
2010-06-14,0.95067105
2010-06-15,1.0
2010-06-16,1.0
2010-06-17,1.0
2010-06-18,1.0
2010-06-19,1.0013324
2010-06-20,1.0
2010-06-21,1.0
2010-06-22,1.0
2010-06-23,1.0
2010-06-24,1.0
2010-06-25,1.0
2010-06-26,1.0
2010-06-27,1.0
2010-06-28,1.00038901
2010-06-29,1.0
2010-06-30,1.0
2010-07-01,1.0
2010-07-02,1.0
2010-07-03,1.0
2010-07-04,1.0
2010-07-05,1.0
2010-07-06,1.0
2010-07-07,1.0
2010-07-08,1.01439903
2010-07-09,1.0
2010-07-10,1.0
2010-07-11,1.00104441
2010-07-12,1.0
2010-07-13,1.0
2010-07-14,1.00183667
2010-07-15,1.00359222
2010-07-16,1.00035156
2010-07-17,15.7059734
2010-07-18,3.81792911
2010-07-19,1.86719295
2010-07-20,1.54710269
2010-07-21,1.59232349
2010-07-22,0.9429009
2010-07-23,1.61441308
2010-07-24,3.36131398
2010-07-25,1.68027117
2010-07-26,2.54335378
2010-07-27,1.82086481
2010-07-28,1.0757505
2010-07-29,1.14654229
2010-07-30,1.14436935
2010-07-31,1.2738086
2010-08-01,1.05383394
2010-08-02,0.98584415
2010-08-03,1.10754942
2010-08-04,1.243234
2010-08-05,1.0277092
2010-08-06,1.46150106
2010-08-07,1.24465937
2010-08-08,1.27978495
2010-08-09,1.19425277
2010-08-10,1.15099366
2010-08-11,1.0456297
2010-08-12,1.08818504
2010-08-13,1.39373682
2010-08-14,1.07271257
2010-08-15,1.2918201
2010-08-16,1.14695757
2010-08-17,1.05992993
2010-08-18,1.16861962
2010-08-19,1.01901719
2010-08-20,1.05350998
2010-08-21,1.25008665
2010-08-22,1.49311579
2010-08-23,0.99072716
2010-08-24,1.06688998
2010-08-25,1.01732935
2010-08-26,1.01473344
2010-08-27,1.1044368
2010-08-28,0.98854723
2010-08-29,1.03944175
2010-08-30,1.05520052
2010-08-31,1.04562227
2010-09-01,1.01846229
2010-09-02,1.01691328
2010-09-03,1.01160124
2010-09-04,0.9943
2010-09-05,1.05136771
2010-09-06,0.98304168
2010-09-07,1.14832928
2010-09-08,1.01661302
2010-09-09,1.66074201
2010-09-10,1.01457264
2010-09-11,0.99609212
2010-09-12,1.10998783
2010-09-13,1.01130055
2010-09-14,1.02136916
2010-09-15,0.99244026
2010-09-16,1.37252028
2010-09-17,2.13697763
2010-09-18,1.01464903
2010-09-19,1.02984428
2010-09-20,0.99770241
2010-09-21,1.02308219
2010-09-22,1.03661969
2010-09-23,1.01628467
2010-09-24,1.04231024
2010-09-25,1.03439231
2010-09-26,1.00868602
2010-09-27,2.13502118
2010-09-28,2.81381242
2010-09-29,1.11095152
2010-09-30,0.98646451
2010-10-01,1.87466304
2010-10-02,1.39081514
2010-10-03,0.99203474
2010-10-04,1.01154775
2010-10-05,1.21075514
2010-10-06,1.01765267
2010-10-07,1.07591251
2010-10-08,1.29288664
2010-10-09,1.33724214
2010-10-10,1.18424813
2010-10-11,1.33424034
2010-10-12,1.0534859
2010-10-13,1.67784539
2010-10-14,1.08268703
2010-10-15,1.45079753
2010-10-16,1.22552792
2010-10-17,1.11495982
2010-10-18,1.06921012
2010-10-19,0.99153747
2010-10-20,1.08815332
2010-10-21,1.31434507
2010-10-22,1.00321096
2010-10-23,1.26194529
2010-10-24,1.23565062
2010-10-25,1.26257071
2010-10-26,1.30022192
2010-10-27,1.51371038
2010-10-28,1.71635005
2010-10-29,1.25270161
2010-10-30,1.31534193
2010-10-31,1.3087175
2010-11-01,1.17555918
2010-11-02,1.2682465
2010-11-03,1.18151638
2010-11-04,1.53710845
2010-11-05,1.64593715
2010-11-06,3.35596169
2010-11-07,1.22330524
2010-11-08,1.0966875
2010-11-09,1.10570746
2010-11-10,1.06179489
2010-11-11,1.04042007
2010-11-12,1.12445165
2010-11-13,1.47923403
2010-11-14,1.27807772
2010-11-15,2.44372374
2010-11-16,0.992829
2010-11-17,1.0016259
2010-11-18,1.18002755
2010-11-19,1.45583387
2010-11-20,1.23609959
2010-11-21,1.05099579
2010-11-22,1.15494693
2010-11-23,1.15442415
2010-11-24,1.20288414
2010-11-25,1.23150438
2010-11-26,1.14477349
2010-11-27,1.12211361
2010-11-28,1.044468
2010-11-29,0.89066936
2010-11-30,0.9722947
2010-12-01,0.92159484
2010-12-02,1.55975542
2010-12-03,1.016487
2010-12-04,0.88132655
2010-12-05,1.06784547
2010-12-06,1.27192078
2010-12-07,1.21338877
2010-12-08,1.06143762
2010-12-09,0.94926094
2010-12-10,1.11016806
2010-12-11,1.04136055
2010-12-12,1.0379805
2010-12-13,1.09501827
2010-12-14,1.0718383
2010-12-15,1.30231168
2010-12-16,1.10373583
2010-12-17,0.99910633
2010-12-18,1.07909225
2010-12-19,0.99055502
2010-12-20,1.65659713
2010-12-21,2.102088
2010-12-22,1.02482257
2010-12-23,1.17211689
2010-12-24,1.00766936
2010-12-25,1.12780178
2010-12-26,1.16016021
2010-12-27,1.04150412
2010-12-28,1.13248317
2010-12-29,1.28773711
2010-12-30,1.11420789
2010-12-31,1.0576025
2011-01-01,1.05219667
2011-01-02,1.26213307
2011-01-03,1.13105484
2011-01-04,1.07586896
2011-01-05,1.10397931
2011-01-06,1.09269438
2011-01-07,1.16965078
2011-01-08,1.14486691
2011-01-09,1.11695801
2011-01-10,1.49570107
2011-01-11,1.70703383
2011-01-12,1.04097953
2011-01-13,1.22022046
2011-01-14,1.30430399
2011-01-15,1.1126404
2011-01-16,1.36284543
2011-01-17,1.19698159
2011-01-18,1.00977689
2011-01-19,1.40665889
2011-01-20,1.21414502
2011-01-21,1.20185846
2011-01-22,1.23839671
2011-01-23,1.42905623
2011-01-24,1.20471255
2011-01-25,1.13334487
2011-01-26,1.51540925
2011-01-27,1.24139881
2011-01-28,1.27902373
2011-01-29,1.44140418
2011-01-30,1.1846327
2011-01-31,1.40010626
2011-02-01,1.57595813
2011-02-02,1.66451328
2011-02-03,1.13242886
2011-02-04,1.36637744
2011-02-05,1.41368721
2011-02-06,1.60484867
2011-02-07,1.41839548
2011-02-08,1.10137306
2011-02-09,1.50758439
2011-02-10,1.13674615
2011-02-11,1.31020353
2011-02-12,1.13641368
2011-02-13,1.16917257
2011-02-14,1.72559619
2011-02-15,1.05830941
2011-02-16,1.0653786
2011-02-17,1.05088372
2011-02-18,1.09156559
2011-02-19,1.10061146
2011-02-20,1.04366897
2011-02-21,1.01894675
2011-02-22,1.09314951
2011-02-23,1.0387915
2011-02-24,1.11346692
2011-02-25,1.00299766
2011-02-26,1.30629982
2011-02-27,1.1608898
2011-02-28,1.16806422
2011-03-01,1.57808701
2011-03-02,1.03074209
2011-03-03,1.02706447
2011-03-04,1.00607503
2011-03-05,1.08800111
2011-03-06,1.00251399
2011-03-07,0.98789245
2011-03-08,1.04248405
2011-03-09,0.99386885
2011-03-10,1.01976362
2011-03-11,1.01605881
2011-03-12,1.19892343
2011-03-13,1.04034222
2011-03-14,1.09969331
2011-03-15,1.08590669
2011-03-16,1.23007439
2011-03-17,1.05723651
2011-03-18,0.98630358
2011-03-19,0.99828305
2011-03-20,0.98290159
2011-03-21,1.04082961
2011-03-22,0.9958915
2011-03-23,1.08626411
2011-03-24,1.18170219
2011-03-25,1.03163291
2011-03-26,1.12574163
2011-03-27,1.04195883
2011-03-28,1.00068421
2011-03-29,0.98700178
2011-03-30,0.98859288
2011-03-31,0.98663692
2011-04-01,1.00537387
2011-04-02,0.96327727
2011-04-03,0.99463884
2011-04-04,1.08832307
2011-04-05,1.09063317
2011-04-06,1.00595388
2011-04-07,1.01122098
2011-04-08,1.00930868
2011-04-09,0.98840932
2011-04-10,0.972321
2011-04-11,1.02927302
2011-04-12,1.09298057
2011-04-13,1.10531217
2011-04-14,1.16488093
2011-04-15,1.18454808
2011-04-16,1.13718296
2011-04-17,1.09215556
2011-04-18,1.29834144
2011-04-19,1.04207128
2011-04-20,1.0177631
2011-04-21,1.12434121
2011-04-22,1.31150629
2011-04-23,1.46951012
2011-04-24,1.33842056
2011-04-25,1.12463241
2011-04-26,1.21670789
2011-04-27,1.26652021
2011-04-28,1.39796545
2011-04-29,3.34994946
2011-04-30,1.54868268
2011-05-01,1.21938747
2011-05-02,1.22458228
2011-05-03,1.42779978
2011-05-04,1.89361917
2011-05-05,1.20456613
2011-05-06,1.552218
2011-05-07,1.1426447
2011-05-08,1.07109159
2011-05-09,1.18644435
2011-05-10,1.28209451
2011-05-11,1.4480085
2011-05-12,1.73019347
2011-05-13,1.45689938
2011-05-14,1.03593753
2011-05-15,1.56524895
2011-05-16,1.65536596
2011-05-17,1.17632079
2011-05-18,1.12478671
2011-05-19,1.19312509
2011-05-20,1.18181145
2011-05-21,0.92711546
2011-05-22,1.09832611
2011-05-23,1.0928072
2011-05-24,1.26887466
2011-05-25,1.28629758
2011-05-26,1.26588498
2011-05-27,1.21672658
2011-05-28,1.11122862
2011-05-29,1.12262262
2011-05-30,1.37169513
2011-05-31,1.21442583
2011-06-01,1.22203294
2011-06-02,1.470128
2011-06-03,1.77137884
2011-06-04,1.56371673
2011-06-05,1.37168914
2011-06-06,2.2522768
2011-06-07,1.37269434
2011-06-08,2.13434475
2011-06-09,1.51122101
2011-06-10,1.26334599
2011-06-11,0.91600115
2011-06-12,1.34476128
2011-06-13,1.20788878
2011-06-14,1.57493037
2011-06-15,1.23669112
2011-06-16,1.14081169
2011-06-17,1.05194463
2011-06-18,1.04288845
2011-06-19,1.02346153
2011-06-20,1.038717
2011-06-21,1.09245346
2011-06-22,1.00865127
2011-06-23,1.00803859
2011-06-24,1.04318564
2011-06-25,1.013089
2011-06-26,1.04705864
2011-06-27,1.04894731
2011-06-28,1.05301376
2011-06-29,1.05553053
2011-06-30,1.0328685
2011-07-01,0.98013933
2011-07-02,0.98352365
2011-07-03,1.01042138
2011-07-04,0.95437387
2011-07-05,1.02497642
2011-07-06,1.0147696
2011-07-07,1.01366601
2011-07-08,0.97451993
2011-07-09,0.99190637
2011-07-10,1.11691686
2011-07-11,1.00264684
2011-07-12,1.00112181
2011-07-13,1.00682066
2011-07-14,1.0059756
2011-07-15,1.00319065
2011-07-16,0.99205929
2011-07-17,0.99298761
2011-07-18,0.85407565
2011-07-19,1.03173676
2011-07-20,0.87422026
2011-07-21,0.99157852
2011-07-22,0.99298422
2011-07-23,1.00259245
2011-07-24,1.01342653
2011-07-25,1.01153567
2011-07-26,1.00491022
2011-07-27,1.01239063
2011-07-28,0.96578673
2011-07-29,1.00425483
2011-07-30,1.02527586
2011-07-31,0.98248417
2011-08-01,0.98509882
2011-08-02,0.96098673
2011-08-03,0.78312132
2011-08-04,0.9837061
2011-08-05,0.92603895
2011-08-06,0.70679519
2011-08-07,0.85885266
2011-08-08,0.85004108
2011-08-09,1.00430175
2011-08-10,0.98396325
2011-08-11,0.96076755
2011-08-12,0.98712615
2011-08-13,1.02150952
2011-08-14,1.00733702
2011-08-15,1.05796825
2011-08-16,1.03867907
2011-08-17,1.02587136
2011-08-18,1.01458033
2011-08-19,1.02733783
2011-08-20,1.02098631
2011-08-21,0.98972774
2011-08-22,0.9931373
2011-08-23,0.97400666
2011-08-24,0.99400353
2011-08-25,1.27490086
2011-08-26,1.01162876
2011-08-27,0.71035758
2011-08-28,1.02123417
2011-08-29,1.04209283
2011-08-30,0.9598323
2011-08-31,0.95554119
2011-09-01,0.93700246
2011-09-02,1.02115664
2011-09-03,0.9830573
2011-09-04,0.96182019
2011-09-05,0.91885358
2011-09-06,0.87324267
2011-09-07,0.94986227
2011-09-08,0.77885172
2011-09-09,0.85714627
2011-09-10,0.86131464
2011-09-11,0.72668593
2011-09-12,0.87431269
2011-09-13,0.89245518
2011-09-14,0.94274621
2011-09-15,0.89147418
2011-09-16,0.92266222
2011-09-17,0.95649115
2011-09-18,0.9933267
2011-09-19,0.94169752
2011-09-20,0.98921004
2011-09-21,0.95943695
2011-09-22,0.89492576
2011-09-23,0.96838909
2011-09-24,0.97321013
2011-09-25,0.72041172
2011-09-26,0.92203102
2011-09-27,0.95912957
2011-09-28,0.9430041
2011-09-29,0.97040419
2011-09-30,1.00464604
2011-10-01,0.90282086
2011-10-02,0.90256476
2011-10-03,0.94552305
2011-10-04,0.95869249
2011-10-05,0.95250855
2011-10-06,0.97456912
2011-10-07,0.8743029
2011-10-08,0.91856554
2011-10-09,0.88521769
2011-10-10,0.95651287
2011-10-11,0.85152856
2011-10-12,0.91057223
2011-10-13,0.95603282
2011-10-14,0.89433152
2011-10-15,0.9376671
2011-10-16,0.91070868
2011-10-17,0.6706624
2011-10-18,0.76274295
2011-10-19,0.65688773
2011-10-20,0.91427821
2011-10-21,0.94258568
2011-10-22,0.94937624
2011-10-23,0.98129201
2011-10-24,0.89387209
2011-10-25,0.96698248
2011-10-26,0.82393004
2011-10-27,0.99147299
2011-10-28,1.0216164
2011-10-29,1.00130075
2011-10-30,0.97689703
2011-10-31,0.96921503
2011-11-01,0.97107889
2011-11-02,0.99161714
2011-11-03,0.89030416
2011-11-04,0.96055823
2011-11-05,0.95655334
2011-11-06,0.97551838
2011-11-07,0.9685062
2011-11-08,0.96627386
2011-11-09,0.59572026
2011-11-10,0.9664168
2011-11-11,0.96036437
2011-11-12,0.99067602
2011-11-13,0.97530209
2011-11-14,0.84063858
2011-11-15,0.95450798
2011-11-16,0.65583711
2011-11-17,0.9636101
2011-11-18,0.95542798
2011-11-19,1.00605221
2011-11-20,0.98516621
2011-11-21,1.00610726
2011-11-22,0.99569849
2011-11-23,0.9903539
2011-11-24,1.01399461
2011-11-25,1.00771815
2011-11-26,0.95192665
2011-11-27,0.99754144
2011-11-28,0.95981
2011-11-29,1.0117444
2011-11-30,1.00864391
2011-12-01,1.00696106
2011-12-02,1.00272143
2011-12-03,0.98028662
2011-12-04,1.00180235
2011-12-05,0.99866318
2011-12-06,1.0044569
2011-12-07,0.98661122
2011-12-08,1.00036139
2011-12-09,0.99882073
2011-12-10,1.0052634
2011-12-11,1.04658573
2011-12-12,0.99839571
2011-12-13,1.0136446
2011-12-14,0.93352836
2011-12-15,1.01265846
2011-12-16,1.00427037
2011-12-17,0.99531916
2011-12-18,0.98936603
2011-12-19,1.06755472
2011-12-20,1.09692257
2011-12-21,1.03363135
2011-12-22,1.03733356
2011-12-23,1.06007045
2011-12-24,0.99304195
2011-12-25,1.00273084
2011-12-26,1.02222679
2011-12-27,1.01895406
2011-12-28,1.04572575
2011-12-29,1.00731246
2011-12-30,1.03739987
2011-12-31,1.09325633
2012-01-01,1.11165785
2012-01-02,0.95770366
2012-01-03,1.03152814
2012-01-04,1.1253701
2012-01-05,1.21865141
2012-01-06,1.11061071
2012-01-07,1.09726834
2012-01-08,1.11111529
2012-01-09,1.07559046
2012-01-10,0.98485224
2012-01-11,1.10192018
2012-01-12,1.18369972
2012-01-13,1.02744684
2012-01-14,1.07180846
2012-01-15,1.05284555
2012-01-16,1.02587626
2012-01-17,0.94006664
2012-01-18,0.98576762
2012-01-19,1.09298071
2012-01-20,1.0209446
2012-01-21,0.99984758
2012-01-22,1.01359393
2012-01-23,1.02083376
2012-01-24,1.01311687
2012-01-25,0.97090406
2012-01-26,0.91324986
2012-01-27,0.94645203
2012-01-28,0.98888197
2012-01-29,0.95736443
2012-01-30,0.97545412
2012-01-31,0.96150146
2012-02-01,1.04954903
2012-02-02,1.0242422
2012-02-03,1.00468177
2012-02-04,0.99417848
2012-02-05,0.98349204
2012-02-06,0.93143385
2012-02-07,1.0012995
2012-02-08,0.98714499
2012-02-09,1.010389
2012-02-10,0.98820283
2012-02-11,1.06381792
2012-02-12,0.9866257
2012-02-13,0.79649723
2012-02-14,0.91438215
2012-02-15,0.96323247
2012-02-16,0.96227898
2012-02-17,0.97914762
2012-02-18,0.93076464
2012-02-19,0.95895994
2012-02-20,0.97496423
2012-02-21,0.95128415
2012-02-22,0.97619904
2012-02-23,1.04857577
2012-02-24,1.02169042
2012-02-25,1.00616556
2012-02-26,0.99920972
2012-02-27,1.01201077
2012-02-28,1.01241457
2012-02-29,0.77654737
2012-03-01,1.01057081
2012-03-02,0.97247809
2012-03-03,0.95228731
2012-03-04,1.00889392
2012-03-05,1.02064903
2012-03-06,1.01668097
2012-03-07,1.00599091
2012-03-08,0.99337592
2012-03-09,0.99023664
2012-03-10,0.98016385
2012-03-11,0.95637695
2012-03-12,0.9901599
2012-03-13,1.04394589
2012-03-14,1.04228414
2012-03-15,1.02717203
2012-03-16,1.04259095
2012-03-17,0.9909169
2012-03-18,0.96917264
2012-03-19,0.92647022
2012-03-20,0.98149968
2012-03-21,0.9336713
2012-03-22,0.97053228
2012-03-23,0.99902048
2012-03-24,0.95177598
2012-03-25,0.95031728
2012-03-26,0.97912417
2012-03-27,1.00250046
2012-03-28,1.00053153
2012-03-29,0.98235681
2012-03-30,0.67889389
2012-03-31,1.00762698
2012-04-01,0.9886136
2012-04-02,1.0124917
2012-04-03,0.89957628
2012-04-04,1.0005233
2012-04-05,1.00860464
2012-04-06,1.01717404
2012-04-07,0.96906874
2012-04-08,0.99910683
2012-04-09,1.01879978
2012-04-10,0.9921243
2012-04-11,1.01136727
2012-04-12,1.0163022
2012-04-13,1.00735312
2012-04-14,1.00998674
2012-04-15,1.02151767
2012-04-16,1.00865019
2012-04-17,1.00740462
2012-04-18,1.02588001
2012-04-19,1.01890681
2012-04-20,1.04164551
2012-04-21,1.00187038
2012-04-22,1.03092147
2012-04-23,0.94169699
2012-04-24,1.00869838
2012-04-25,1.10821592
2012-04-26,0.96688231
2012-04-27,1.00166547
2012-04-28,0.98550833
2012-04-29,0.97960574
2012-04-30,0.90521956
2012-05-01,1.00261094
2012-05-02,1.00461747
2012-05-03,1.01078017
2012-05-04,0.99772493
2012-05-05,1.00298501
2012-05-06,0.93550448
2012-05-07,0.99867899
2012-05-08,0.99705388
2012-05-09,1.00194127
2012-05-10,0.98394136
2012-05-11,0.9910066
2012-05-12,1.09382356
2012-05-13,0.95557795
2012-05-14,0.99222016
2012-05-15,0.99751079
