date,timestamp_utc,Net Unrealized Profit (NUP)
2021-03-21,2021-03-21T00:00:00Z,0.71256012
2021-03-22,2021-03-22T00:00:00Z,0.70466172
2021-03-23,2021-03-23T00:00:00Z,0.6996781
2021-03-24,2021-03-24T00:00:00Z,0.68712311
2021-03-25,2021-03-25T00:00:00Z,0.68029529
2021-03-26,2021-03-26T00:00:00Z,0.69175642
2021-03-27,2021-03-27T00:00:00Z,0.69574801
2021-03-28,2021-03-28T00:00:00Z,0.69466183
2021-03-29,2021-03-29T00:00:00Z,0.70467972
2021-03-30,2021-03-30T00:00:00Z,0.70563987
2021-03-31,2021-03-31T00:00:00Z,0.70368015
2021-04-01,2021-04-01T00:00:00Z,0.70328964
2021-04-02,2021-04-02T00:00:00Z,0.70372737
2021-04-03,2021-04-03T00:00:00Z,0.69466904
2021-04-04,2021-04-04T00:00:00Z,0.69827837
2021-04-05,2021-04-05T00:00:00Z,0.69934246
2021-04-06,2021-04-06T00:00:00Z,0.69202493
2021-04-07,2021-04-07T00:00:00Z,0.68402699
2021-04-08,2021-04-08T00:00:00Z,0.68823025
2021-04-09,2021-04-09T00:00:00Z,0.68984925
2021-04-10,2021-04-10T00:00:00Z,0.69599018
2021-04-11,2021-04-11T00:00:00Z,0.69642482
2021-04-12,2021-04-12T00:00:00Z,0.695334
2021-04-13,2021-04-13T00:00:00Z,0.70691737
2021-04-14,2021-04-14T00:00:00Z,0.70101949
2021-04-15,2021-04-15T00:00:00Z,0.70421252
2021-04-16,2021-04-16T00:00:00Z,0.69771597
2021-04-17,2021-04-17T00:00:00Z,0.69044009
2021-04-18,2021-04-18T00:00:00Z,0.67101178
2021-04-19,2021-04-19T00:00:00Z,0.66754337
2021-04-20,2021-04-20T00:00:00Z,0.667161
2021-04-21,2021-04-21T00:00:00Z,0.66105185
2021-04-22,2021-04-22T00:00:00Z,0.65024624
2021-04-23,2021-04-23T00:00:00Z,0.64334263
2021-04-24,2021-04-24T00:00:00Z,0.63852747
2021-04-25,2021-04-25T00:00:00Z,0.63212125
2021-04-26,2021-04-26T00:00:00Z,0.65300064
2021-04-27,2021-04-27T00:00:00Z,0.65526578
2021-04-28,2021-04-28T00:00:00Z,0.65246793
2021-04-29,2021-04-29T00:00:00Z,0.64748221
2021-04-30,2021-04-30T00:00:00Z,0.66556433
2021-05-01,2021-05-01T00:00:00Z,0.66389645
2021-05-02,2021-05-02T00:00:00Z,0.65796444
2021-05-03,2021-05-03T00:00:00Z,0.66001064
2021-05-04,2021-05-04T00:00:00Z,0.64361962
2021-05-05,2021-05-05T00:00:00Z,0.65721884
2021-05-06,2021-05-06T00:00:00Z,0.65186084
2021-05-07,2021-05-07T00:00:00Z,0.6552746
2021-05-08,2021-05-08T00:00:00Z,0.65688561
2021-05-09,2021-05-09T00:00:00Z,0.65680063
2021-05-10,2021-05-10T00:00:00Z,0.64800489
2021-05-11,2021-05-11T00:00:00Z,0.64695445
2021-05-12,2021-05-12T00:00:00Z,0.63566234
2021-05-13,2021-05-13T00:00:00Z,0.61688954
2021-05-14,2021-05-14T00:00:00Z,0.62330657
2021-05-15,2021-05-15T00:00:00Z,0.60896024
2021-05-16,2021-05-16T00:00:00Z,0.60658223
2021-05-17,2021-05-17T00:00:00Z,0.59875851
2021-05-18,2021-05-18T00:00:00Z,0.59045843
2021-05-19,2021-05-19T00:00:00Z,0.59976001
2021-05-20,2021-05-20T00:00:00Z,0.5811264
2021-05-21,2021-05-21T00:00:00Z,0.56359401
2021-05-22,2021-05-22T00:00:00Z,0.57038517
2021-05-23,2021-05-23T00:00:00Z,0.55334249
2021-05-24,2021-05-24T00:00:00Z,0.56946443
2021-05-25,2021-05-25T00:00:00Z,0.56642779
2021-05-26,2021-05-26T00:00:00Z,0.5729094
2021-05-27,2021-05-27T00:00:00Z,0.57041427
2021-05-28,2021-05-28T00:00:00Z,0.55648608
2021-05-29,2021-05-29T00:00:00Z,0.55120629
2021-05-30,2021-05-30T00:00:00Z,0.55533875
2021-05-31,2021-05-31T00:00:00Z,0.5640125
2021-06-01,2021-06-01T00:00:00Z,0.55916102
2021-06-02,2021-06-02T00:00:00Z,0.5649763
2021-06-03,2021-06-03T00:00:00Z,0.57019505
2021-06-04,2021-06-04T00:00:00Z,0.55917237
2021-06-05,2021-06-05T00:00:00Z,0.55272387
2021-06-06,2021-06-06T00:00:00Z,0.55323949
2021-06-07,2021-06-07T00:00:00Z,0.54224791
2021-06-08,2021-06-08T00:00:00Z,0.544181
2021-06-09,2021-06-09T00:00:00Z,0.56206621
2021-06-10,2021-06-10T00:00:00Z,0.56023801
2021-06-11,2021-06-11T00:00:00Z,0.55874083
2021-06-12,2021-06-12T00:00:00Z,0.55043159
2021-06-13,2021-06-13T00:00:00Z,0.5699081
2021-06-14,2021-06-14T00:00:00Z,0.57327107
2021-06-15,2021-06-15T00:00:00Z,0.57392592
2021-06-16,2021-06-16T00:00:00Z,0.5620748
2021-06-17,2021-06-17T00:00:00Z,0.55977391
2021-06-18,2021-06-18T00:00:00Z,0.5437952
2021-06-19,2021-06-19T00:00:00Z,0.54962851
2021-06-20,2021-06-20T00:00:00Z,0.54951094
2021-06-21,2021-06-21T00:00:00Z,0.53669756
2021-06-22,2021-06-22T00:00:00Z,0.53034064
2021-06-23,2021-06-23T00:00:00Z,0.54049604
2021-06-24,2021-06-24T00:00:00Z,0.54183861
2021-06-25,2021-06-25T00:00:00Z,0.52961325
2021-06-26,2021-06-26T00:00:00Z,0.52967277
2021-06-27,2021-06-27T00:00:00Z,0.53424202
2021-06-28,2021-06-28T00:00:00Z,0.54226804
2021-06-29,2021-06-29T00:00:00Z,0.5496536
2021-06-30,2021-06-30T00:00:00Z,0.54120242
2021-07-01,2021-07-01T00:00:00Z,0.53693746
2021-07-02,2021-07-02T00:00:00Z,0.53783451
2021-07-03,2021-07-03T00:00:00Z,0.54298336
2021-07-04,2021-07-04T00:00:00Z,0.5495179
2021-07-05,2021-07-05T00:00:00Z,0.53963856
2021-07-06,2021-07-06T00:00:00Z,0.53843834
2021-07-07,2021-07-07T00:00:00Z,0.53678828
2021-07-08,2021-07-08T00:00:00Z,0.53189485
2021-07-09,2021-07-09T00:00:00Z,0.53866601
2021-07-10,2021-07-10T00:00:00Z,0.53567749
2021-07-11,2021-07-11T00:00:00Z,0.53939339
2021-07-12,2021-07-12T00:00:00Z,0.53408924
2021-07-13,2021-07-13T00:00:00Z,0.5286861
2021-07-14,2021-07-14T00:00:00Z,0.53079721
2021-07-15,2021-07-15T00:00:00Z,0.52283011
2021-07-16,2021-07-16T00:00:00Z,0.52474131
2021-07-17,2021-07-17T00:00:00Z,0.52296626
2021-07-18,2021-07-18T00:00:00Z,0.52309737
2021-07-19,2021-07-19T00:00:00Z,0.51837571
2021-07-20,2021-07-20T00:00:00Z,0.51409328
2021-07-21,2021-07-21T00:00:00Z,0.52403732
2021-07-22,2021-07-22T00:00:00Z,0.52598796
2021-07-23,2021-07-23T00:00:00Z,0.53051526
2021-07-24,2021-07-24T00:00:00Z,0.53585537
2021-07-25,2021-07-25T00:00:00Z,0.54052622
2021-07-26,2021-07-26T00:00:00Z,0.55454511
2021-07-27,2021-07-27T00:00:00Z,0.55611273
2021-07-28,2021-07-28T00:00:00Z,0.56292723
2021-07-29,2021-07-29T00:00:00Z,0.55799277
2021-07-30,2021-07-30T00:00:00Z,0.56977314
2021-07-31,2021-07-31T00:00:00Z,0.57174749
2021-08-01,2021-08-01T00:00:00Z,0.55699264
2021-08-02,2021-08-02T00:00:00Z,0.55147919
2021-08-03,2021-08-03T00:00:00Z,0.54750882
2021-08-04,2021-08-04T00:00:00Z,0.55555607
2021-08-05,2021-08-05T00:00:00Z,0.56065114
2021-08-06,2021-08-06T00:00:00Z,0.5732461
2021-08-07,2021-08-07T00:00:00Z,0.58535717
2021-08-08,2021-08-08T00:00:00Z,0.57755781
2021-08-09,2021-08-09T00:00:00Z,0.5902577
2021-08-10,2021-08-10T00:00:00Z,0.58508708
2021-08-11,2021-08-11T00:00:00Z,0.58953754
2021-08-12,2021-08-12T00:00:00Z,0.58021887
2021-08-13,2021-08-13T00:00:00Z,0.59817303
2021-08-14,2021-08-14T00:00:00Z,0.59374092
2021-08-15,2021-08-15T00:00:00Z,0.59398733
2021-08-16,2021-08-16T00:00:00Z,0.58814719
2021-08-17,2021-08-17T00:00:00Z,0.57833439
2021-08-18,2021-08-18T00:00:00Z,0.58267714
2021-08-19,2021-08-19T00:00:00Z,0.58642549
2021-08-20,2021-08-20T00:00:00Z,0.60262156
2021-08-21,2021-08-21T00:00:00Z,0.60162292
2021-08-22,2021-08-22T00:00:00Z,0.60257551
2021-08-23,2021-08-23T00:00:00Z,0.60352076
2021-08-24,2021-08-24T00:00:00Z,0.59227564
2021-08-25,2021-08-25T00:00:00Z,0.5957017
2021-08-26,2021-08-26T00:00:00Z,0.59237911
2021-08-27,2021-08-27T00:00:00Z,0.59553345
2021-08-28,2021-08-28T00:00:00Z,0.59412393
2021-08-29,2021-08-29T00:00:00Z,0.59636906
2021-08-30,2021-08-30T00:00:00Z,0.58204141
2021-08-31,2021-08-31T00:00:00Z,0.58393646
2021-09-01,2021-09-01T00:00:00Z,0.59197096
2021-09-02,2021-09-02T00:00:00Z,0.59542445
2021-09-03,2021-09-03T00:00:00Z,0.59851992
2021-09-04,2021-09-04T00:00:00Z,0.59697068
2021-09-05,2021-09-05T00:00:00Z,0.60677409
2021-09-06,2021-09-06T00:00:00Z,0.61179402
2021-09-07,2021-09-07T00:00:00Z,0.57893216
2021-09-08,2021-09-08T00:00:00Z,0.57983486
2021-09-09,2021-09-09T00:00:00Z,0.57473826
2021-09-10,2021-09-10T00:00:00Z,0.55773966
2021-09-11,2021-09-11T00:00:00Z,0.56704216
2021-09-12,2021-09-12T00:00:00Z,0.57525641
2021-09-13,2021-09-13T00:00:00Z,0.56720697
2021-09-14,2021-09-14T00:00:00Z,0.57697982
2021-09-15,2021-09-15T00:00:00Z,0.58262822
2021-09-16,2021-09-16T00:00:00Z,0.5801653
2021-09-17,2021-09-17T00:00:00Z,0.57632639
2021-09-18,2021-09-18T00:00:00Z,0.57924274
2021-09-19,2021-09-19T00:00:00Z,0.57599335
2021-09-20,2021-09-20T00:00:00Z,0.55451499
2021-09-21,2021-09-21T00:00:00Z,0.54290822
2021-09-22,2021-09-22T00:00:00Z,0.556925
2021-09-23,2021-09-23T00:00:00Z,0.55976065
2021-09-24,2021-09-24T00:00:00Z,0.55346131
2021-09-25,2021-09-25T00:00:00Z,0.5533027
2021-09-26,2021-09-26T00:00:00Z,0.55298369
2021-09-27,2021-09-27T00:00:00Z,0.54912275
2021-09-28,2021-09-28T00:00:00Z,0.53837906
2021-09-29,2021-09-29T00:00:00Z,0.54181176
2021-09-30,2021-09-30T00:00:00Z,0.55260069
2021-10-01,2021-10-01T00:00:00Z,0.57741727
2021-10-02,2021-10-02T00:00:00Z,0.5803914
2021-10-03,2021-10-03T00:00:00Z,0.57746893
2021-10-04,2021-10-04T00:00:00Z,0.58516096
2021-10-05,2021-10-05T00:00:00Z,0.59730693
2021-10-06,2021-10-06T00:00:00Z,0.61837189
2021-10-07,2021-10-07T00:00:00Z,0.60354143
2021-10-08,2021-10-08T00:00:00Z,0.60450235
2021-10-09,2021-10-09T00:00:00Z,0.61008809
2021-10-10,2021-10-10T00:00:00Z,0.60650943
2021-10-11,2021-10-11T00:00:00Z,0.62191676
2021-10-12,2021-10-12T00:00:00Z,0.61553519
2021-10-13,2021-10-13T00:00:00Z,0.62067418
2021-10-14,2021-10-14T00:00:00Z,0.61901838
2021-10-15,2021-10-15T00:00:00Z,0.64080903
2021-10-16,2021-10-16T00:00:00Z,0.63877514
2021-10-17,2021-10-17T00:00:00Z,0.64093154
2021-10-18,2021-10-18T00:00:00Z,0.64202044
2021-10-19,2021-10-19T00:00:00Z,0.65218837
2021-10-20,2021-10-20T00:00:00Z,0.65907114
2021-10-21,2021-10-21T00:00:00Z,0.6373248
2021-10-22,2021-10-22T00:00:00Z,0.629067
2021-10-23,2021-10-23T00:00:00Z,0.63264182
2021-10-24,2021-10-24T00:00:00Z,0.62939234
2021-10-25,2021-10-25T00:00:00Z,0.63919689
2021-10-26,2021-10-26T00:00:00Z,0.62385791
2021-10-27,2021-10-27T00:00:00Z,0.61597614
2021-10-28,2021-10-28T00:00:00Z,0.62445646
2021-10-29,2021-10-29T00:00:00Z,0.62977492
2021-10-30,2021-10-30T00:00:00Z,0.62795137
2021-10-31,2021-10-31T00:00:00Z,0.62757602
2021-11-01,2021-11-01T00:00:00Z,0.62401558
2021-11-02,2021-11-02T00:00:00Z,0.63135397
2021-11-03,2021-11-03T00:00:00Z,0.62898283
2021-11-04,2021-11-04T00:00:00Z,0.62131628
2021-11-05,2021-11-05T00:00:00Z,0.61846553
2021-11-06,2021-11-06T00:00:00Z,0.61942153
2021-11-07,2021-11-07T00:00:00Z,0.62886429
2021-11-08,2021-11-08T00:00:00Z,0.65115903
2021-11-09,2021-11-09T00:00:00Z,0.64897473
2021-11-10,2021-11-10T00:00:00Z,0.63403071
2021-11-11,2021-11-11T00:00:00Z,0.63363667
2021-11-12,2021-11-12T00:00:00Z,0.62323318
2021-11-13,2021-11-13T00:00:00Z,0.62697023
2021-11-14,2021-11-14T00:00:00Z,0.63104653
2021-11-15,2021-11-15T00:00:00Z,0.62321563
2021-11-16,2021-11-16T00:00:00Z,0.60720175
2021-11-17,2021-11-17T00:00:00Z,0.59655634
2021-11-18,2021-11-18T00:00:00Z,0.58533901
2021-11-19,2021-11-19T00:00:00Z,0.59073771
2021-11-20,2021-11-20T00:00:00Z,0.59807288
2021-11-21,2021-11-21T00:00:00Z,0.59295224
2021-11-22,2021-11-22T00:00:00Z,0.58381948
2021-11-23,2021-11-23T00:00:00Z,0.58812311
2021-11-24,2021-11-24T00:00:00Z,0.5849362
2021-11-25,2021-11-25T00:00:00Z,0.58988509
2021-11-26,2021-11-26T00:00:00Z,0.5633318
2021-11-27,2021-11-27T00:00:00Z,0.56858028
2021-11-28,2021-11-28T00:00:00Z,0.57979885
2021-11-29,2021-11-29T00:00:00Z,0.58432892
2021-11-30,2021-11-30T00:00:00Z,0.58435548
2021-12-01,2021-12-01T00:00:00Z,0.57898977
2021-12-02,2021-12-02T00:00:00Z,0.57465494
2021-12-03,2021-12-03T00:00:00Z,0.56236924
2021-12-04,2021-12-04T00:00:00Z,0.54452327
2021-12-05,2021-12-05T00:00:00Z,0.54399162
2021-12-06,2021-12-06T00:00:00Z,0.55089947
2021-12-07,2021-12-07T00:00:00Z,0.55004531
2021-12-08,2021-12-08T00:00:00Z,0.54754925
2021-12-09,2021-12-09T00:00:00Z,0.53970904
2021-12-10,2021-12-10T00:00:00Z,0.53282362
2021-12-11,2021-12-11T00:00:00Z,0.54020205
2021-12-12,2021-12-12T00:00:00Z,0.54379552
2021-12-13,2021-12-13T00:00:00Z,0.52960843
2021-12-14,2021-12-14T00:00:00Z,0.53476975
2021-12-15,2021-12-15T00:00:00Z,0.5368066
2021-12-16,2021-12-16T00:00:00Z,0.53199322
2021-12-17,2021-12-17T00:00:00Z,0.52810614
2021-12-18,2021-12-18T00:00:00Z,0.52840995
2021-12-19,2021-12-19T00:00:00Z,0.52720251
2021-12-20,2021-12-20T00:00:00Z,0.52842914
2021-12-21,2021-12-21T00:00:00Z,0.53779513
2021-12-22,2021-12-22T00:00:00Z,0.53572267
2021-12-23,2021-12-23T00:00:00Z,0.5435989
2021-12-24,2021-12-24T00:00:00Z,0.54358732
2021-12-25,2021-12-25T00:00:00Z,0.54655397
2021-12-26,2021-12-26T00:00:00Z,0.54515715
2021-12-27,2021-12-27T00:00:00Z,0.54322107
2021-12-28,2021-12-28T00:00:00Z,0.52977392
2021-12-29,2021-12-29T00:00:00Z,0.52419383
2021-12-30,2021-12-30T00:00:00Z,0.52681143
2021-12-31,2021-12-31T00:00:00Z,0.52169679
2022-01-01,2022-01-01T00:00:00Z,0.52493391
2022-01-02,2022-01-02T00:00:00Z,0.52656007
2022-01-03,2022-01-03T00:00:00Z,0.5223844
2022-01-04,2022-01-04T00:00:00Z,0.5196089
2022-01-05,2022-01-05T00:00:00Z,0.51229187
2022-01-06,2022-01-06T00:00:00Z,0.50954529
2022-01-07,2022-01-07T00:00:00Z,0.50079669
2022-01-08,2022-01-08T00:00:00Z,0.50585621
2022-01-09,2022-01-09T00:00:00Z,0.50350086
2022-01-10,2022-01-10T00:00:00Z,0.50372821
2022-01-11,2022-01-11T00:00:00Z,0.50709766
2022-01-12,2022-01-12T00:00:00Z,0.51265291
2022-01-13,2022-01-13T00:00:00Z,0.50496736
2022-01-14,2022-01-14T00:00:00Z,0.50799724
2022-01-15,2022-01-15T00:00:00Z,0.5084505
2022-01-16,2022-01-16T00:00:00Z,0.50756349
2022-01-17,2022-01-17T00:00:00Z,0.50359344
2022-01-18,2022-01-18T00:00:00Z,0.50419611
2022-01-19,2022-01-19T00:00:00Z,0.50181047
2022-01-20,2022-01-20T00:00:00Z,0.49633322
2022-01-21,2022-01-21T00:00:00Z,0.48069013
2022-01-22,2022-01-22T00:00:00Z,0.47405502
2022-01-23,2022-01-23T00:00:00Z,0.48401893
2022-01-24,2022-01-24T00:00:00Z,0.48084108
2022-01-25,2022-01-25T00:00:00Z,0.48139576
2022-01-26,2022-01-26T00:00:00Z,0.48081283
2022-01-27,2022-01-27T00:00:00Z,0.48304544
2022-01-28,2022-01-28T00:00:00Z,0.48530203
2022-01-29,2022-01-29T00:00:00Z,0.48577301
2022-01-30,2022-01-30T00:00:00Z,0.48609417
2022-01-31,2022-01-31T00:00:00Z,0.48801816
2022-02-01,2022-02-01T00:00:00Z,0.4844986
2022-02-02,2022-02-02T00:00:00Z,0.47533264
2022-02-03,2022-02-03T00:00:00Z,0.47141921
2022-02-04,2022-02-04T00:00:00Z,0.49970979
2022-02-05,2022-02-05T00:00:00Z,0.49752565
2022-02-06,2022-02-06T00:00:00Z,0.50315209
2022-02-07,2022-02-07T00:00:00Z,0.50997948
2022-02-08,2022-02-08T00:00:00Z,0.5108331
2022-02-09,2022-02-09T00:00:00Z,0.50976568
2022-02-10,2022-02-10T00:00:00Z,0.50600919
2022-02-11,2022-02-11T00:00:00Z,0.49989205
2022-02-12,2022-02-12T00:00:00Z,0.49644032
2022-02-13,2022-02-13T00:00:00Z,0.49991586
2022-02-14,2022-02-14T00:00:00Z,0.50147177
2022-02-15,2022-02-15T00:00:00Z,0.50694791
2022-02-16,2022-02-16T00:00:00Z,0.51043396
2022-02-17,2022-02-17T00:00:00Z,0.48978547
2022-02-18,2022-02-18T00:00:00Z,0.48688364
2022-02-19,2022-02-19T00:00:00Z,0.48699218
2022-02-20,2022-02-20T00:00:00Z,0.48329001
2022-02-21,2022-02-21T00:00:00Z,0.4744029
2022-02-22,2022-02-22T00:00:00Z,0.47990832
2022-02-23,2022-02-23T00:00:00Z,0.47425934
2022-02-24,2022-02-24T00:00:00Z,0.47787738
2022-02-25,2022-02-25T00:00:00Z,0.48153795
2022-02-26,2022-02-26T00:00:00Z,0.48102625
2022-02-27,2022-02-27T00:00:00Z,0.47480376
2022-02-28,2022-02-28T00:00:00Z,0.50082431
2022-03-01,2022-03-01T00:00:00Z,0.50651204
2022-03-02,2022-03-02T00:00:00Z,0.50443996
2022-03-03,2022-03-03T00:00:00Z,0.49568706
2022-03-04,2022-03-04T00:00:00Z,0.47784735
2022-03-05,2022-03-05T00:00:00Z,0.47874962
2022-03-06,2022-03-06T00:00:00Z,0.47424682
2022-03-07,2022-03-07T00:00:00Z,0.47136356
2022-03-08,2022-03-08T00:00:00Z,0.47535821
2022-03-09,2022-03-09T00:00:00Z,0.4916458
2022-03-10,2022-03-10T00:00:00Z,0.4792361
2022-03-11,2022-03-11T00:00:00Z,0.47419267
2022-03-12,2022-03-12T00:00:00Z,0.47612821
2022-03-13,2022-03-13T00:00:00Z,0.47011924
2022-03-14,2022-03-14T00:00:00Z,0.47698421
2022-03-15,2022-03-15T00:00:00Z,0.47777352
2022-03-16,2022-03-16T00:00:00Z,0.48571357
2022-03-17,2022-03-17T00:00:00Z,0.48366912
2022-03-18,2022-03-18T00:00:00Z,0.48774562
2022-03-19,2022-03-19T00:00:00Z,0.49014284
2022-03-20,2022-03-20T00:00:00Z,0.48409451
2022-03-21,2022-03-21T00:00:00Z,0.48373016
2022-03-22,2022-03-22T00:00:00Z,0.4896148
2022-03-23,2022-03-23T00:00:00Z,0.49363457
2022-03-24,2022-03-24T00:00:00Z,0.49838459
2022-03-25,2022-03-25T00:00:00Z,0.4998125
2022-03-26,2022-03-26T00:00:00Z,0.50013907
2022-03-27,2022-03-27T00:00:00Z,0.51393513
2022-03-28,2022-03-28T00:00:00Z,0.51213731
2022-03-29,2022-03-29T00:00:00Z,0.51570265
2022-03-30,2022-03-30T00:00:00Z,0.51258119
2022-03-31,2022-03-31T00:00:00Z,0.49968613
2022-04-01,2022-04-01T00:00:00Z,0.50651664
2022-04-02,2022-04-02T00:00:00Z,0.50574658
2022-04-03,2022-04-03T00:00:00Z,0.50743606
2022-04-04,2022-04-04T00:00:00Z,0.50835811
2022-04-05,2022-04-05T00:00:00Z,0.50245712
2022-04-06,2022-04-06T00:00:00Z,0.49055798
2022-04-07,2022-04-07T00:00:00Z,0.48967132
2022-04-08,2022-04-08T00:00:00Z,0.48347888
2022-04-09,2022-04-09T00:00:00Z,0.48410125
2022-04-10,2022-04-10T00:00:00Z,0.48559892
2022-04-11,2022-04-11T00:00:00Z,0.46944809
2022-04-12,2022-04-12T00:00:00Z,0.47086869
2022-04-13,2022-04-13T00:00:00Z,0.47567874
2022-04-14,2022-04-14T00:00:00Z,0.46800835
2022-04-15,2022-04-15T00:00:00Z,0.47197674
2022-04-16,2022-04-16T00:00:00Z,0.47085098
2022-04-17,2022-04-17T00:00:00Z,0.4679602
2022-04-18,2022-04-18T00:00:00Z,0.472505
2022-04-19,2022-04-19T00:00:00Z,0.47623934
2022-04-20,2022-04-20T00:00:00Z,0.47601713
2022-04-21,2022-04-21T00:00:00Z,0.46891805
2022-04-22,2022-04-22T00:00:00Z,0.46570389
2022-04-23,2022-04-23T00:00:00Z,0.46977405
2022-04-24,2022-04-24T00:00:00Z,0.46422184
2022-04-25,2022-04-25T00:00:00Z,0.46972591
2022-04-26,2022-04-26T00:00:00Z,0.45863432
2022-04-27,2022-04-27T00:00:00Z,0.46278033
2022-04-28,2022-04-28T00:00:00Z,0.46540691
2022-04-29,2022-04-29T00:00:00Z,0.46104051
2022-04-30,2022-04-30T00:00:00Z,0.45699631
2022-05-01,2022-05-01T00:00:00Z,0.45846464
2022-05-02,2022-05-02T00:00:00Z,0.45960414
2022-05-03,2022-05-03T00:00:00Z,0.4565206
2022-05-04,2022-05-04T00:00:00Z,0.46460019
2022-05-05,2022-05-05T00:00:00Z,0.45278997
2022-05-06,2022-05-06T00:00:00Z,0.45034976
2022-05-07,2022-05-07T00:00:00Z,0.44902764
2022-05-08,2022-05-08T00:00:00Z,0.44441335
2022-05-09,2022-05-09T00:00:00Z,0.43509954
2022-05-10,2022-05-10T00:00:00Z,0.43327598
2022-05-11,2022-05-11T00:00:00Z,0.42615451
2022-05-12,2022-05-12T00:00:00Z,0.42895941
