date,Tokens Transferred (Mean)
2009-08-04,
2009-08-05,
2009-08-06,
2009-08-07,5549.52877931
2009-08-08,
2009-08-09,
2009-08-10,
2009-08-11,
2009-08-12,
2009-08-13,
2009-08-14,
2009-08-15,
2009-08-16,
2009-08-17,
2009-08-18,
2009-08-19,
2009-08-20,
2009-08-21,
2009-08-22,
2009-08-23,
2009-08-24,
2009-08-25,
2009-08-26,782.68663565
2009-08-27,
2009-08-28,
2009-08-29,
2009-08-30,50.0
2009-08-31,300.000006
2009-09-01,
2009-09-02,
2009-09-03,699.999986
2009-09-04,
2009-09-05,
2009-09-06,
2009-09-07,650.000026
2009-09-08,
2009-09-09,
2009-09-10,
2009-09-11,
2009-09-12,
2009-09-13,
2009-09-14,
2009-09-15,
2009-09-16,1.0
2009-09-17,5049.9999495
2009-09-18,
2009-09-19,
2009-09-20,
2009-09-21,400.0
2009-09-22,2000.0
2009-09-23,
2009-09-24,
2009-09-25,650.000003
2009-09-26,
2009-09-27,800.0
2009-09-28,
2009-09-29,1074.999938
2009-09-30,
2009-10-01,
2009-10-02,500.0
2009-10-03,
2009-10-04,
2009-10-05,
2009-10-06,449.9999965
2009-10-07,
2009-10-08,
2009-10-09,
2009-10-10,
2009-10-11,
2009-10-12,5049.9999495
2009-10-13,
2009-10-14,
2009-10-15,
2009-10-16,9700.000679
2009-10-17,
2009-10-18,349.999993
2009-10-19,
2009-10-20,5049.88232271
2009-10-21,899.759937
2009-10-22,11949.999761
2009-10-23,
2009-10-24,12249.999755
2009-10-25,
2009-10-26,
2009-10-27,12999.99922
2009-10-28,
2009-10-29,1024.9998915
2009-10-30,
2009-10-31,
2009-11-01,
2009-11-02,
2009-11-03,
2009-11-04,15500.00217
2009-11-05,
2009-11-06,
2009-11-07,
2009-11-08,
2009-11-09,
2009-11-10,
2009-11-11,10000.0
2009-11-12,
2009-11-13,200.0
2009-11-14,
2009-11-15,
2009-11-16,
2009-11-17,
2009-11-18,
2009-11-19,22174.99999025
2009-11-20,
2009-11-21,
2009-11-22,
2009-11-23,
2009-11-24,
2009-11-25,
2009-11-26,
2009-11-27,
2009-11-28,
2009-11-29,
2009-11-30,
2009-12-01,10049.992764
2009-12-02,
2009-12-03,
2009-12-04,
2009-12-05,900.000072
2009-12-06,70.0
2009-12-07,
2009-12-08,750.0
2009-12-09,181.15384615
2009-12-10,
2009-12-11,
2009-12-12,2600.000278
2009-12-13,
2009-12-14,6509.13843494
2009-12-15,2729.49997275
2009-12-16,850.0000085
2009-12-17,99.83333333
2009-12-18,
2009-12-19,50.0
2009-12-20,
2009-12-21,50.0
2009-12-22,
2009-12-23,
2009-12-24,
2009-12-25,50.0
2009-12-26,
2009-12-27,250.0
2009-12-28,
2009-12-29,
2009-12-30,
2009-12-31,
2010-01-01,50.0
2010-01-02,
2010-01-03,
2010-01-04,10402.17696142
2010-01-05,
2010-01-06,
2010-01-07,
2010-01-08,
2010-01-09,
2010-01-10,
2010-01-11,
2010-01-12,5399.93876725
2010-01-13,29.0
2010-01-14,202.5
2010-01-15,200.73999999
2010-01-16,251.00000251
2010-01-17,
2010-01-18,50.0
2010-01-19,
2010-01-20,
2010-01-21,76.47666667
2010-01-22,83.33333333
2010-01-23,25.5
2010-01-24,50.0
2010-01-25,824.9999965
2010-01-26,145.49999601
2010-01-27,500.0
2010-01-28,525.0000095
2010-01-29,237.5000015
2010-01-30,425.0
2010-01-31,550.000017
2010-02-01,288.88888872
2010-02-02,1050.0000525
2010-02-03,150.0
2010-02-04,409.998
2010-02-05,3062.24952363
2010-02-06,150.0
2010-02-07,99.8
2010-02-08,837.87484825
2010-02-09,6966.66194
2010-02-10,6060.0
2010-02-11,739.9999156
2010-02-12,1529.9999456
2010-02-13,2066.33335083
2010-02-14,1784.04633309
2010-02-15,505.5533505
2010-02-16,127.22833258
2010-02-17,5338.40908612
2010-02-18,414.14287713
2010-02-19,33.33666667
2010-02-20,324.999988
2010-02-21,1566.70718366
2010-02-22,2860.0000181
2010-02-23,50.0
2010-02-24,883.33322675
2010-02-25,2649.9997375
2010-02-26,2737.2500035
2010-02-27,150.33333333
2010-02-28,1766.33260547
2010-03-01,400.0000015
2010-03-02,399.9999974
2010-03-03,1700.0
2010-03-04,6450.00253533
2010-03-05,75.0
2010-03-06,3957.89856576
2010-03-07,1874.99992813
2010-03-08,1809.0357388
2010-03-09,2025.0
2010-03-10,371.42714307
2010-03-11,1066.66669433
2010-03-12,175.0
2010-03-13,1800.000144
2010-03-14,774.9999965
2010-03-15,30.4
2010-03-16,400.333333
2010-03-17,416.66666667
2010-03-18,438.88879306
2010-03-19,705.11107044
2010-03-20,412.50000113
2010-03-21,64.57142857
2010-03-22,349.99999957
2010-03-23,306.68692242
2010-03-24,163.63636265
2010-03-25,1606.7329908
2010-03-26,250.00000991
2010-03-27,433.33333959
2010-03-28,358.33333233
2010-03-29,287.49999917
2010-03-30,91.66666642
2010-03-31,294.83999895
2010-04-01,127.272726
2010-04-02,199.9999989
2010-04-03,344.69599865
2010-04-04,287.50001871
2010-04-05,379.89963213
2010-04-06,342.73333993
2010-04-07,500.28545473
2010-04-08,257.39500016
2010-04-09,844.51314434
2010-04-10,392.34313174
2010-04-11,385.31333024
2010-04-12,638.31272751
2010-04-13,118.00000045
2010-04-14,149.97418561
2010-04-15,1531.42319943
2010-04-16,403.52125506
2010-04-17,146.30620709
2010-04-18,11.95138764
2010-04-19,555.04249974
2010-04-20,382.50001628
2010-04-21,250.90035573
2010-04-22,538.57125026
2010-04-23,79.08059999
2010-04-24,356.85464791
2010-04-25,339.27234191
2010-04-26,258.4146819
2010-04-27,159.13094285
2010-04-28,179.20298224
2010-04-29,168.95030289
2010-04-30,2362.3199911
2010-05-01,192.54074091
2010-05-02,91.96
2010-05-03,277.6206795
2010-05-04,459.75900986
2010-05-05,760.38648069
2010-05-06,567.89320766
2010-05-07,1301.69230838
2010-05-08,624.29520396
2010-05-09,246.95999968
2010-05-10,305.64758846
2010-05-11,107.90263174
2010-05-12,677.19093637
2010-05-13,279.68666623
2010-05-14,523.69803176
2010-05-15,146.66545841
2010-05-16,121.93200165
2010-05-17,306.4708513
2010-05-18,171.28909157
2010-05-19,355.92116524
2010-05-20,112.79323516
2010-05-21,675.01627066
2010-05-22,1441.21065711
2010-05-23,224.88122555
2010-05-24,100.90322729
2010-05-25,171.59091
2010-05-26,263.14015739
2010-05-27,194.82013447
2010-05-28,544.57611075
2010-05-29,804.5636354
2010-05-30,107.10392364
2010-05-31,131.94230913
2010-06-01,148.8329214
2010-06-02,161.8570212
2010-06-03,116.55542154
2010-06-04,675.56978793
2010-06-05,140.00000092
2010-06-06,165.44826789
2010-06-07,523.07308243
2010-06-08,149.22222375
2010-06-09,1390.22249626
2010-06-10,555.53736837
2010-06-11,130.7440526
2010-06-12,181.16794872
2010-06-13,212.41791132
2010-06-14,450.94813535
2010-06-15,421.44705891
2010-06-16,573.98159732
2010-06-17,375.66293106
2010-06-18,269.45767436
2010-06-19,912.07486945
2010-06-20,629.48860506
2010-06-21,431.9101136
2010-06-22,439.41746691
2010-06-23,564.85714358
2010-06-24,456.28690203
2010-06-25,321.96666664
2010-06-26,1399.27952315
2010-06-27,224.42857057
2010-06-28,579.2955129
2010-06-29,429.55360403
2010-06-30,606.38406931
2010-07-01,368.29986296
2010-07-02,1435.19905896
2010-07-03,492.56756726
2010-07-04,320.85349761
2010-07-05,727.35630174
2010-07-06,495.78204659
2010-07-07,792.4243715
2010-07-08,234.34638892
2010-07-09,168.43478341
2010-07-10,488.1604889
2010-07-11,271.44821883
2010-07-12,1584.9299025
2010-07-13,384.20371017
2010-07-14,57.87825911
2010-07-15,121.59903675
2010-07-16,90.07994084
2010-07-17,102.54417449
2010-07-18,145.44390831
2010-07-19,133.19138433
2010-07-20,72.40276033
2010-07-21,108.02554682
2010-07-22,179.32859768
2010-07-23,94.99903236
2010-07-24,62.04533444
2010-07-25,29.56371247
2010-07-26,388.17797332
2010-07-27,122.68922827
2010-07-28,37.70118889
2010-07-29,11.29889149
2010-07-30,140.99175024
2010-07-31,167.75532574
2010-08-01,2160.80175625
2010-08-02,407.4575019
2010-08-03,96.16057277
2010-08-04,171.61454292
2010-08-05,137.38050653
2010-08-06,87.65099117
2010-08-07,214.17729341
2010-08-08,53.82838737
2010-08-09,330.61205114
2010-08-10,227.32785258
2010-08-11,306.63357533
2010-08-12,89.7304571
2010-08-13,116.4870099
2010-08-14,105.89372548
2010-08-15,156.63499861
2010-08-16,226.06169902
2010-08-17,264.52904761
2010-08-18,153.2315598
2010-08-19,107.37947425
2010-08-20,128.60178275
2010-08-21,228.86573885
2010-08-22,132.58565003
2010-08-23,113.94942698
2010-08-24,128.62140244
2010-08-25,106.78590499
2010-08-26,90.17588697
2010-08-27,233.31138364
2010-08-28,98.39952569
2010-08-29,87.80193874
2010-08-30,76.88283325
2010-08-31,156.23727634
2010-09-01,128.95780395
2010-09-02,210.52545604
2010-09-03,192.62154865
2010-09-04,322.86408602
2010-09-05,939.79253258
2010-09-06,630.01783312
2010-09-07,149.51852401
2010-09-08,101.42419535
2010-09-09,180.78174572
2010-09-10,77.44989277
2010-09-11,70.47179375
2010-09-12,91.91770833
2010-09-13,442.18086926
2010-09-14,137.07725908
2010-09-15,152.92548072
2010-09-16,157.91557264
2010-09-17,492.14464051
2010-09-18,269.27518584
2010-09-19,350.21409744
2010-09-20,158.59961809
2010-09-21,43.43520377
2010-09-22,89.55008024
2010-09-23,300.70734115
2010-09-24,70.85663027
2010-09-25,92.14800184
2010-09-26,115.30518301
2010-09-27,89.23260309
2010-09-28,292.74817092
2010-09-29,115.9331202
2010-09-30,190.02296828
2010-10-01,135.54276282
2010-10-02,907.4484999
2010-10-03,297.07857851
2010-10-04,2189.02712846
2010-10-05,790.70114345
2010-10-06,514.83669758
2010-10-07,707.60605687
2010-10-08,732.79726088
2010-10-09,764.04901331
2010-10-10,640.26016185
2010-10-11,299.77437165
2010-10-12,396.31446723
2010-10-13,607.7222336
2010-10-14,1098.20709704
2010-10-15,969.97675819
2010-10-16,1083.01032836
2010-10-17,580.16973246
2010-10-18,659.23081968
2010-10-19,397.65493973
2010-10-20,444.68100384
2010-10-21,509.02729071
2010-10-22,288.90207633
2010-10-23,126.15593564
2010-10-24,302.00112386
2010-10-25,724.61183592
2010-10-26,654.66682381
2010-10-27,568.62019851
2010-10-28,702.70989131
2010-10-29,352.76758251
2010-10-30,336.15540145
2010-10-31,507.07914042
2010-11-01,242.8577577
2010-11-02,568.4189986
2010-11-03,362.92980892
2010-11-04,1112.0410013
2010-11-05,188.38488693
2010-11-06,718.95090926
2010-11-07,427.39871358
2010-11-08,2081.01079082
2010-11-09,269.6209369
2010-11-10,301.78123692
2010-11-11,236.46880706
2010-11-12,287.94700852
2010-11-13,317.54966639
2010-11-14,221.3429974
2010-11-15,56.08814176
2010-11-16,42.43727661
2010-11-17,330.22616978
2010-11-18,48.09899847
2010-11-19,5.73706182
2010-11-20,16.54708892
2010-11-21,12.72576737
2010-11-22,174.46305548
2010-11-23,212.10014906
2010-11-24,10.2711041
2010-11-25,10.53773219
2010-11-26,79.55910707
2010-11-27,91.62211432
2010-11-28,86.1120568
2010-11-29,141.59134574
2010-11-30,237.1067459
2010-12-01,169.89095319
2010-12-02,225.20018411
2010-12-03,141.44999029
2010-12-04,345.00937688
2010-12-05,109.88097486
2010-12-06,428.70556308
2010-12-07,260.03381389
2010-12-08,104.02566893
2010-12-09,161.56877444
2010-12-10,117.88632755
2010-12-11,212.72545888
2010-12-12,101.25228097
2010-12-13,353.85855812
2010-12-14,241.32021105
2010-12-15,253.31505575
2010-12-16,236.7053173
2010-12-17,213.13817971
2010-12-18,246.09649923
2010-12-19,267.08716039
2010-12-20,107.54172084
2010-12-21,234.11251019
2010-12-22,164.78745691
2010-12-23,168.20762031
2010-12-24,157.71881861
2010-12-25,241.62469479
2010-12-26,159.54427257
2010-12-27,254.21992138
2010-12-28,115.08291457
2010-12-29,318.53040985
2010-12-30,152.35993627
2010-12-31,151.18695527
2011-01-01,115.57767621
2011-01-02,118.18269671
2011-01-03,69.55197998
2011-01-04,47.95873131
2011-01-05,42.7564235
2011-01-06,57.8379958
2011-01-07,66.06102436
2011-01-08,46.58529959
2011-01-09,36.11622172
2011-01-10,71.43450319
2011-01-11,87.65783837
2011-01-12,59.47612259
2011-01-13,111.29047573
2011-01-14,78.87601759
2011-01-15,70.87130759
2011-01-16,85.6408404
2011-01-17,89.91885192
2011-01-18,154.92279208
2011-01-19,79.95356132
2011-01-20,70.66781414
2011-01-21,61.46853376
2011-01-22,55.43088748
2011-01-23,87.94667778
2011-01-24,60.81588672
2011-01-25,74.50814876
2011-01-26,79.61182803
2011-01-27,1520.12902108
2011-01-28,49.88110509
2011-01-29,57.01261549
2011-01-30,160.26082047
2011-01-31,154.74863317
2011-02-01,142.763643
2011-02-02,154.22941883
2011-02-03,104.50568849
2011-02-04,69.93446665
2011-02-05,106.61646724
2011-02-06,106.31489279
2011-02-07,224.62728052
2011-02-08,98.34658494
2011-02-09,123.85232379
2011-02-10,117.58377296
2011-02-11,116.14143363
2011-02-12,76.75431603
2011-02-13,64.17645228
2011-02-14,71.92062963
2011-02-15,45.92414405
2011-02-16,33.0686115
2011-02-17,46.37684751
2011-02-18,64.22669406
2011-02-19,124.78620967
2011-02-20,123.95407817
2011-02-21,129.10488739
2011-02-22,175.01225468
2011-02-23,177.99505833
2011-02-24,115.22583476
2011-02-25,95.72053363
2011-02-26,98.44085928
2011-02-27,93.69606349
2011-02-28,79.54363558
2011-03-01,397.57731462
2011-03-02,1323.14767007
2011-03-03,75.77984051
2011-03-04,171.77597754
2011-03-05,72.39229123
2011-03-06,104.15439696
2011-03-07,120.81567741
2011-03-08,82.6375319
2011-03-09,146.089488
2011-03-10,218.31554248
2011-03-11,141.1931644
2011-03-12,55.57609257
2011-03-13,79.09191464
2011-03-14,82.04273563
2011-03-15,44.31819717
2011-03-16,50.45937543
2011-03-17,49.75959606
2011-03-18,75.83920614
2011-03-19,38.76641763
2011-03-20,35.27166783
2011-03-21,26.54035346
2011-03-22,96.60254804
2011-03-23,57.68315964
2011-03-24,125.14521266
2011-03-25,156.18674185
2011-03-26,99.85396288
2011-03-27,62.57181557
2011-03-28,49.04241855
2011-03-29,43.09231755
2011-03-30,76.36282835
2011-03-31,72.44309559
2011-04-01,55.99466023
2011-04-02,59.68308716
2011-04-03,49.94350806
2011-04-04,67.566989
2011-04-05,62.29549872
2011-04-06,50.12715518
2011-04-07,72.30238899
2011-04-08,79.92613746
2011-04-09,89.78889037
2011-04-10,54.11073118
2011-04-11,48.85542272
2011-04-12,72.27407869
2011-04-13,81.75895457
2011-04-14,53.5949947
2011-04-15,53.71199228
2011-04-16,173.51035903
2011-04-17,626.04084794
2011-04-18,44.46797618
2011-04-19,769.13662007
2011-04-20,1694.4645653
2011-04-21,244.18877357
2011-04-22,82.11777416
2011-04-23,77.67789346
2011-04-24,48.1443971
2011-04-25,40.80423377
2011-04-26,54.67358525
2011-04-27,56.30182585
2011-04-28,51.81644176
2011-04-29,232.94064504
2011-04-30,94.36361396
2011-05-01,43.06437268
2011-05-02,41.24786622
2011-05-03,68.61961216
2011-05-04,107.50621066
2011-05-05,48.96567288
2011-05-06,91.4192621
2011-05-07,60.44544443
2011-05-08,197.80878558
2011-05-09,46.58639552
2011-05-10,191.25538046
2011-05-11,60.79363248
2011-05-12,65.13012123
2011-05-13,117.39158212
2011-05-14,428.41495411
2011-05-15,87.79128446
2011-05-16,67.80850457
2011-05-17,50.82989328
2011-05-18,34.19606933
2011-05-19,40.42076607
2011-05-20,75.49539266
2011-05-21,137.84861553
2011-05-22,174.68467746
2011-05-23,83.94303867
2011-05-24,63.66763977
2011-05-25,64.14808535
2011-05-26,61.89553897
2011-05-27,114.44469919
2011-05-28,46.3067871
2011-05-29,58.16354664
2011-05-30,51.93807245
2011-05-31,47.36834826
2011-06-01,42.75516219
2011-06-02,50.9392182
2011-06-03,74.29557795
2011-06-04,55.45691003
2011-06-05,66.0276565
2011-06-06,87.3739904
2011-06-07,59.53401757
2011-06-08,67.72328559
2011-06-09,64.53358826
2011-06-10,83.43749985
2011-06-11,138.59595106
2011-06-12,149.78815089
2011-06-13,115.03961914
2011-06-14,110.45862114
2011-06-15,343.07140879
2011-06-16,697.240067
2011-06-17,141.05335089
2011-06-18,110.62554957
2011-06-19,405.61343687
2011-06-20,121.19335007
2011-06-21,350.33390416
2011-06-22,117.42578697
2011-06-23,159.44928312
2011-06-24,445.99786333
2011-06-25,1122.30255256
2011-06-26,411.15918563
2011-06-27,161.41684586
2011-06-28,650.02798077
2011-06-29,282.46524137
2011-06-30,158.47726079
2011-07-01,106.34208265
2011-07-02,110.39796065
2011-07-03,69.55355838
2011-07-04,143.61440649
2011-07-05,46.18403188
2011-07-06,54.89719308
2011-07-07,51.46260989
2011-07-08,36.4420778
2011-07-09,269.50957551
2011-07-10,293.80576025
2011-07-11,97.10054146
2011-07-12,133.32691283
2011-07-13,158.45018591
2011-07-14,224.47529483
2011-07-15,76.16838018
2011-07-16,143.14065285
2011-07-17,68.53114635
2011-07-18,374.92013654
2011-07-19,302.39231209
2011-07-20,62.33990041
2011-07-21,166.36000975
2011-07-22,175.5096343
2011-07-23,83.095385
2011-07-24,67.2512225
2011-07-25,153.83622196
2011-07-26,143.9701106
2011-07-27,162.1292404
2011-07-28,425.98535295
2011-07-29,96.42605963
2011-07-30,53.59307634
2011-07-31,74.99722603
2011-08-01,67.34970112
2011-08-02,45.88856602
2011-08-03,53.82476018
2011-08-04,38.98226414
2011-08-05,68.40776403
2011-08-06,56.52087336
2011-08-07,55.35642609
2011-08-08,145.53733868
2011-08-09,273.41824709
2011-08-10,139.37589583
2011-08-11,64.92996555
2011-08-12,48.13851788
2011-08-13,41.83764399
2011-08-14,61.10934308
2011-08-15,40.42741302
2011-08-16,38.02464369
2011-08-17,42.58593758
2011-08-18,55.05194376
2011-08-19,74.3169277
2011-08-20,31.9110312
2011-08-21,32.35623659
2011-08-22,35.73645192
2011-08-23,61.74128428
2011-08-24,77.3804111
2011-08-25,52.57874848
2011-08-26,38.17111031
2011-08-27,433.64245245
2011-08-28,33.51631557
2011-08-29,29.81203976
2011-08-30,30.93325982
2011-08-31,37.0130474
2011-09-01,46.48260273
2011-09-02,36.87550095
2011-09-03,38.81655218
2011-09-04,244.04806476
2011-09-05,329.18008617
2011-09-06,409.95025926
2011-09-07,90.5049405
2011-09-08,60.99568913
2011-09-09,55.45122894
2011-09-10,45.24970194
2011-09-11,160.43122098
2011-09-12,96.37180304
2011-09-13,55.11111997
2011-09-14,48.78080995
2011-09-15,46.12632647
2011-09-16,109.79587208
2011-09-17,65.3193507
2011-09-18,49.92873782
2011-09-19,50.3226072
2011-09-20,43.28863959
2011-09-21,51.55943785
2011-09-22,50.68917162
2011-09-23,54.63856004
2011-09-24,40.29998558
2011-09-25,51.80478466
2011-09-26,50.58757705
2011-09-27,70.95795068
2011-09-28,59.69151259
2011-09-29,59.94408686
2011-09-30,49.85795084
2011-10-01,78.75873332
2011-10-02,64.34613525
2011-10-03,62.95732749
2011-10-04,72.62927792
2011-10-05,71.15236085
2011-10-06,91.4503735
2011-10-07,67.93254794
2011-10-08,52.5293212
2011-10-09,55.85790094
2011-10-10,54.01043438
2011-10-11,56.26381628
2011-10-12,54.17923191
2011-10-13,61.37222646
2011-10-14,45.27809111
2011-10-15,69.11715375
2011-10-16,52.5231031
2011-10-17,84.78735946
2011-10-18,71.22191603
2011-10-19,60.40583372
2011-10-20,64.562615
2011-10-21,110.45508366
2011-10-22,111.97058954
2011-10-23,102.83235681
2011-10-24,62.6147486
2011-10-25,73.57950604
2011-10-26,82.24975601
2011-10-27,109.97730513
2011-10-28,89.37360776
2011-10-29,79.13897081
2011-10-30,42.53291858
2011-10-31,75.8052709
2011-11-01,94.60419738
2011-11-02,68.75283315
2011-11-03,57.0068305
2011-11-04,61.49582743
2011-11-05,49.23574003
2011-11-06,45.49425248
2011-11-07,48.97097305
2011-11-08,190.44866969
2011-11-09,154.51353207
2011-11-10,55.4047462
2011-11-11,60.20508797
2011-11-12,52.15970929
2011-11-13,46.4299199
2011-11-14,60.68989227
2011-11-15,59.27906622
2011-11-16,342.56313033
2011-11-17,679.23306346
2011-11-18,1006.10239769
2011-11-19,895.5784544
2011-11-20,307.7648942
2011-11-21,363.26810226
2011-11-22,670.49215189
2011-11-23,286.07922403
2011-11-24,308.13961019
2011-11-25,202.16311219
2011-11-26,344.83724259
2011-11-27,362.82761955
2011-11-28,690.58781457
2011-11-29,627.72465156
2011-11-30,982.71819669
2011-12-01,342.82584367
2011-12-02,888.59858408
2011-12-03,637.8244989
2011-12-04,560.73190891
2011-12-05,486.97383316
2011-12-06,883.22101798
2011-12-07,934.35824933
2011-12-08,810.56364274
2011-12-09,368.92571081
2011-12-10,202.74086208
2011-12-11,168.70359637
2011-12-12,155.26189908
2011-12-13,65.95336668
2011-12-14,77.18345004
2011-12-15,94.56769039
2011-12-16,94.77707579
2011-12-17,73.70222643
2011-12-18,72.56113012
2011-12-19,83.97807199
2011-12-20,85.30499717
2011-12-21,105.43460012
2011-12-22,75.48225699
2011-12-23,47.76505349
2011-12-24,68.01265095
2011-12-25,58.28037698
2011-12-26,127.35658203
2011-12-27,131.68301295
2011-12-28,56.89304985
2011-12-29,98.96101346
2011-12-30,56.68344799
2011-12-31,52.74480672
2012-01-01,70.1018453
2012-01-02,48.50360004
2012-01-03,46.81029069
2012-01-04,70.43067464
2012-01-05,99.77466945
2012-01-06,93.3668395
2012-01-07,54.20378687
2012-01-08,56.09545822
2012-01-09,74.11459218
2012-01-10,59.07688053
2012-01-11,55.07531807
2012-01-12,54.4121936
2012-01-13,60.13243705
2012-01-14,50.76322332
2012-01-15,43.54472218
2012-01-16,62.94240022
2012-01-17,65.86071526
2012-01-18,56.94888452
2012-01-19,58.61353309
2012-01-20,53.84347963
2012-01-21,48.23132812
2012-01-22,52.02170855
2012-01-23,47.31320838
2012-01-24,52.98313201
2012-01-25,53.1673198
2012-01-26,64.16068512
2012-01-27,57.10195463
2012-01-28,42.92550982
2012-01-29,54.77616905
2012-01-30,54.33807355
2012-01-31,49.85059393
2012-02-01,67.34127545
2012-02-02,52.66514431
2012-02-03,54.83888298
2012-02-04,50.596239
2012-02-05,51.11626877
2012-02-06,53.01164738
2012-02-07,45.72402518
2012-02-08,43.95976519
2012-02-09,36.67888019
2012-02-10,38.03641021
2012-02-11,59.84876474
2012-02-12,46.32377171
2012-02-13,53.73113819
2012-02-14,143.93924494
2012-02-15,145.39651139
2012-02-16,170.16046532
2012-02-17,146.76191693
2012-02-18,109.84629639
2012-02-19,66.92787977
2012-02-20,69.28053571
2012-02-21,61.63233054
2012-02-22,110.79683205
2012-02-23,87.12187672
2012-02-24,84.81625529
2012-02-25,67.40006494
2012-02-26,59.88827226
2012-02-27,56.12935321
2012-02-28,56.49567845
2012-02-29,50.37797371
2012-03-01,98.78195216
2012-03-02,74.58424018
2012-03-03,75.10815186
2012-03-04,105.16177891
2012-03-05,54.70646721
2012-03-06,57.00596155
2012-03-07,57.71510557
2012-03-08,80.32211634
2012-03-09,93.09463151
2012-03-10,73.8915783
2012-03-11,83.44885153
2012-03-12,100.07263174
2012-03-13,72.77566363
2012-03-14,89.48899094
2012-03-15,78.98981281
2012-03-16,73.8398741
2012-03-17,68.5475039
2012-03-18,63.18245343
2012-03-19,69.41755905
2012-03-20,74.16158589
2012-03-21,74.16603765
2012-03-22,117.27819553
2012-03-23,148.07327294
2012-03-24,131.19330771
2012-03-25,68.72004442
2012-03-26,81.58443595
2012-03-27,87.13032488
2012-03-28,96.43119831
2012-03-29,162.51024339
